index,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
27,NOFT YAPI'DAN SATILIK METROBÜSE CEPHE HAVUZLU SİTE İÇİ LÜKS DAİRE,Esenyurt, Cumhuriyet Mahallesi,Konut,2+1,3,10,7. Kat,95,1,1,0,KombiDoğalgaz,539000
28,ULUS PRESTİJLİ SİTEDE SATILIK BOĞAZ MANZARALI BAHÇE DUBLEKSİ,Beşiktaş, Ulus Mahallesi,Konut,3+1,20,3,Bahçe Katı,260,2,1,0,MerkeziDoğalgaz,27500000
29," ELZEM YAPIDAN FIRSAT! GENİŞ,KULLANIŞLI,BALKONLU 2+1 SON DAİRE",Sancaktepe, Merve Mahallesi,Konut,2+1,0,4,Giriş,125,1,1,0,KombiDoğalgaz,258000
30,GöK İNŞAATTAN KELEPİR BAHÇE KATI 2+1 SIFIR DAİRE  ACİLL SATILIK !,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,2,6,Bahçe Katı,105,2,2,0,MerkeziDoğalgaz,119500
31, Mall Of İstanbul da Satılık Vatandaşlığa Uygun Full Eşyalı 2+1,Başakşehir, İkitelli OSB Mahallesi,Konut,2+1,4,30,10-20,107,2,1,0,Merkezi(PayÖlçer),2000000
32, 4+2 350M2 TERASLI MIGROS AVM YAKINI SATILIK /APARTMENT FOR SALE,Beylikdüzü, Barış Mahallesi,Konut,4+2,11-20,14,10-20,350,3,2,1,KombiDoğalgaz,1350000
33,Zeytinburnu satılık daire 58 bulvar üzeri ,Zeytinburnu, Gökalp Mahallesi,Konut,2+1,20,4,3. Kat,85,1,1,0,KombiDoğalgaz,675000
34,Avcılar Gümüşpala ' da Yeni Bina da  Satılık 3+1 Bahçe katı,Avcılar, Gümüşpala Mahallesi,Konut,3+1,5-10,4,Bahçe Katı,130,1,2,0,KombiDoğalgaz,550000
35,HORHOR KEBAPÇILAR SOKAĞINDA SATILIK 3+1,Fatih, İskenderpaşa Mahallesi,Konut,3+1,20,5,2. Kat,135,1,1,0,KombiDoğalgaz,770000
36,"K.OTOPARKLI, JENERATÖRLÜ, YENİ BİNADA, 2+1, 100 M2, FIRSAT DAİRE",Bakırköy, Zuhuratbaba Mahallesi,Konut,2+1,4,5,Giriş,100,1,1,0,KombiDoğalgaz,1125000
