index,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
360, Referans Yapı'dan Çekmeköy Merkezde Geniş 4+1 Lüks Çatı Dubleks,Çekmeköy, Alemdağ Mahallesi,Konut,4+1,0,4,4. Kat,175,2,2,0,KombiDoğalgaz,700000
361,AKSARAY'DA SATILIK YATIRIMLIK GİRİŞ KAT DAİRE,Fatih, Aksaray Mahallesi,Konut,2+1,20,5,Giriş,68,1,1,0,KombiDoğalgaz,390000
362, Şile Merkezde Denize Yürüme Mesafesinde Satılık 1+1 Daire,Şile, Hacı Kasım Mahallesi,Konut,1+1,2,4,Giriş,85,1,1,0,KombiDoğalgaz,465000
363,BÜYÜKÇEKMECE AKBELDE ST. SATILIK DAİRE GÖLMANZARALI,Büyükçekmece, Murat Çeşme Mahallesi,Konut,3+1,11-20,5,5. Kat,140,1,1,0,KombiDoğalgaz,440000
364,ATAKÖY AVRUPA RESİDENCE 1+1 BOŞ ARA KAT İYİ CEPHE SATILIK DAİRE,Bakırköy, Ataköy 7-8-9-10. Kısım Mahallesi,Konut,1+1,4,16,6. Kat,77,1,1,0,Merkezi(PayÖlçer),1400000
365, GALATAPORT PROJESİNE YÜRÜME MESAFESİNDE SATILIK 2+1 YENİ DAİRE,Beyoğlu, Hacımimi Mahallesi,Konut,2+1,2,4,-3,125,1,1,0,YerdenIsıtma,2300000
366, TEM'DEN ESENEVLER MAHALLESİNDE 2+1 BAHÇEKATI,Ümraniye, Esenevler Mahallesi,Konut,2+1,11-20,5,Bahçe Katı,85,1,2,0,KombiDoğalgaz,255000
367," KOZYATAĞI MERKEZ MÜKEMMEL LOKASYON SİTEDE SATILIK DAİRE 3+1,135M",Kadıköy, Kozyatağı Mahallesi,Konut,3+1,20,10,1. Kat,135,2,2,0,MerkeziDoğalgaz,890000
368," ŞİŞLİ 19 MAYIS MAH.GENİŞ BAHÇELİ KOMBİLİ SATILIK DAİRE 1+1,70M2.",Şişli, 19 Mayıs Mahallesi,Konut,1+1,20,4,Bahçe Katı,70,1,1,0,KombiDoğalgaz,525000
369,ÇATALCADA  SATILIK LÜX VİLLA,Çatalca, İzzettin Mahallesi,Konut,3+2,11-20,2,Müstakil,250,2,1,0,KombiDoğalgaz,3500000
370,Beylikduzu satilik sifir proje site ici Satilik 3+1 Daire ,Büyükçekmece, Pınartepe Mahallesi,Konut,3+1,0,5,1. Kat,155,2,2,0,KombiDoğalgaz,650000
371,GÖKTAŞ YAPI'DAN NEZİH KONUMDA 3+1 METROBÜSE YAKIN ARA KAT DAİRE!,Esenyurt, Güzelyurt Mahallesi,Konut,3+1,0,4,2. Kat,140,1,1,0,KombiDoğalgaz,320000
372,GÖKTAŞ YAPI'DAN HAFTANIN KELEPİRİ 2+1 MERKEZDE LÜKS DAİRE !!!!!!,Esenyurt, Ardıçlı Mahallesi,Konut,2+1,0,5,Giriş,100,1,1,0,KombiDoğalgaz,145000
373,GÖKTAŞ YAPI'DAN HEM UYGUN HEM KALİTELİ 2+1DAİRE FIRSATI SİZLERLE,Esenyurt, İnönü Mahallesi,Konut,2+1,0,4,1. Kat,105,1,1,0,KombiDoğalgaz,190000
374,VADİTEPE KİPTAŞ DUBLEKS GÜNEY CEPHE 5+2 SATILIK DAİRE,Başakşehir, Bahçeşehir 1. Kısım Mahallesi,Konut,5+2,4,6,6. Kat,340,4,1,0,Merkezi(PayÖlçer),3450000
375,SARAÇ EMLAK TAN KREDİLİ YUKSEK GİRİŞ İÇİNDE KİRACISI HAZIR ,Bahçelievler, Zafer Mahallesi,Konut,2+1,11-20,4,Giriş,75,1,1,0,KombiDoğalgaz,240000
376,Caddebostan ışıklarda Köşe binada tabela değeri yüksek konut,Kadıköy, Caddebostan Mahallesi,Konut,3+1,20,5,2. Kat,135,1,1,0,Merkezi(PayÖlçer),3300000
377,ÇEKMEKÖY MEHMET AKİF'TE SATILIK 3+1 YÜKSEK GİRİŞ BALKONLU DAİRE,Çekmeköy, Mehmet Akif Mahallesi,Konut,3+1,5-10,4,Giriş,120,1,1,0,KombiDoğalgaz,475000
378,ANADOLU MAHALLESİNDE GENİŞ FERAH TERS DUBLEX,Arnavutköy, Anadolu Mahallesi,Konut,3+1,4,5,Giriş,115,2,1,0,KombiDoğalgaz,290000
379, esenyurt KLASDAN kelepir dupleks daire,Esenyurt, Talatpaşa Mahallesi,Konut,3+2,5-10,5,5. Kat,140,2,2,0,KombiDoğalgaz,350000
380, GALATAPORT PROJESİNE YÜRÜME MESAFESİNDE SATILIK 2+1 YENİ DAİRE,Beyoğlu, Hacımimi Mahallesi,Konut,2+1,2,4,-2,109,1,1,0,Merkezi(PayÖlçer),1800000
381,"TEPEÖREN'DE KEYİFLİ BİR MÜSTAKİL HAYAT, VILLA OLEA",Tuzla, Tepeören Mahallesi,Konut,3+1,0,2,Giriş,163,3,1,0,KombiDoğalgaz,2750000
382,'VILLA OLEA' TUZLA TEPEÖREN LANSMAN FİYATLI SATIŞLAR BAŞLADI,Tuzla, Tepeören Mahallesi,Konut,4+1,0,2,Giriş,163,3,1,0,KombiDoğalgaz,3050000
383,CADDE ÜZERİNDE YENİ BİNA GARAJLI,Şişli, Mecidiyeköy Mahallesi,Konut,2+1,1,6,2. Kat,87,1,1,0,KombiDoğalgaz,700000
384,EYÜPSULTANIN MERKEZİNDE 2+1 100 M2 SATILIK DAİRE ,Eyüpsultan, İslambey Mahallesi,Konut,2+1,20,5,Giriş,110,1,1,0,KombiDoğalgaz,630000
385,"TEŞVİKİYE HÜSREV GEREDEDE ÖNÜ AÇIK, DENİZ MANZARALI 4+1",Şişli, Teşvikiye Mahallesi,Konut,4+1,20,6,6. Kat,160,1,2,0,MerkeziDoğalgaz,3500000
386,satılık tadilatlı 132 m²-3+1- 15. kat daire,Küçükçekmece, Atakent Mahallesi,Konut,3+1,11-20,16,10-20,140,1,2,1,KombiDoğalgaz,1085000
387,ŞEREF EMLAK SATILIK KULLANISLI DAİRE 265000,Gaziosmanpaşa, Yıldıztabya Mahallesi,Konut,1+1,5-10,4,Giriş,70,1,1,0,KombiDoğalgaz,260000
388,EYÜPSULTAN İSLAMBEY DE SATILIK 2+1 85 M2 DAİRE ,Eyüpsultan, İslambey Mahallesi,Konut,2+1,0,5,2. Kat,85,1,1,0,KombiDoğalgaz,580000
389,CEBECi MAH SATILIK BAHCE KATI,Sultangazi, Cebeci Mahallesi,Konut,2+1,11-20,5,Bahçe Katı,95,1,1,0,KombiDoğalgaz,195000
390,"İDEALTEPE'DE, SAHİLE YAKIN , 3+1, 135 M2, KEYİFLİ BAHÇE KATI",Maltepe, İdealtepe Mahallesi,Konut,3+1,20,5,Bahçe Katı,135,1,1,0,KombiDoğalgaz,825000
391,"""""SAHIBINDEN BAĞLARBAŞINDA CADDE ÜZERİNDE 2+1 80M2 3.KAT BALKONLU",Üsküdar, Murat Reis Mahallesi,Konut,2+1,20,4,3. Kat,80,1,1,0,KombiDoğalgaz,405000
392,BEYLİKDÜZÜ SAHİLDE PANORAMİK DENİZ MANZARALI VİLLA,Beylikdüzü, Gürpınar Mahallesi,Konut,7+2,20,2,Villa Tipi,272,4,1,0,IsıtmaYok,1550000
393,Bahçelievler devlet hast arkası konak sokak,Bahçelievler, Kocasinan Merkez Mahallesi,Konut,2+1,4,5,Bahçe Katı,90,1,2,0,KombiDoğalgaz,400000
394,ÇEKMEKÖY HAMİDİYE'DE SATILIK 3+1 DUBLEX DAİRE,Çekmeköy, Hamidiye Mahallesi,Konut,3+1,5-10,4,Çatı Katı,150,1,1,0,KombiDoğalgaz,415000
395,Bahçelievler zafer Mah de yüksek giriş sıfır bina,Bahçelievler, Zafer Mahallesi,Konut,2+1,0,5,Giriş,95,1,1,0,KombiDoğalgaz,460000
396,Esen Emlak'tan Zuhuratbaba da kombili ....,Bakırköy, Zuhuratbaba Mahallesi,Konut,2+1,20,5,Giriş,90,1,1,0,KombiDoğalgaz,500000
397,MEYDAN EMLAKTAN ATAKENT SOYAK OLİMPİYAKENTTE SATILIK VİLLA,Küçükçekmece, Atakent Mahallesi,Konut,5+2,11-20,2,Villa Tipi,350,2,3,0,MerkeziDoğalgaz,7100000
398,EYÜPSULTAN MERKEZİNDE SATILIK 3+1 130 M2 DAİRE ,Eyüpsultan, Düğmeciler Mahallesi,Konut,3+1,20,4,1. Kat,130,1,2,0,KombiDoğalgaz,750000
399,İstanbul küçükçekmee Atakent de satılık eşyalı 5.daire  ,Küçükçekmece, Atakent Mahallesi,Konut,1+1,4,25,5. Kat,59,1,1,0,MerkeziDoğalgaz,475000
400,KOZA EMLAK'TAN 3+1 ÜSKÜDAR BAĞLARBAŞINDA SATILIK DAİRE,Üsküdar, Murat Reis Mahallesi,Konut,3+1,20,4,Bodrum,105,1,1,0,KombiDoğalgaz,450000
401,Bahçelievler devlet hastahane üst tarafı  aile binası,Bahçelievler, Kocasinan Merkez Mahallesi,Konut,2+1,11-20,3,Çatı Dubleks,128,2,3,0,KombiDoğalgaz,490000
402,OĞUZHAN CADDESİNDE ASANSÖRLÜ 3+1 120 m2 KÖŞE DAİRE,Fatih, Molla Gürani Mahallesi,Konut,3+1,20,5,3. Kat,120,1,1,0,KombiDoğalgaz,1350000
403,ÇATALCA ELBASANDA SATILIK İKİ ADET VİLLA,Çatalca, Elbasan Mahallesi,Konut,5+1,0,2,Villa Tipi,2100,2,2,0,KombiDoğalgaz,7000000
404,Çatalca Kabakçada yeni havalanına yakın lüx villa,Çatalca, Kabakça Mahallesi,Konut,3+1,1,1,Giriş,1400,2,2,0,Klimalı,3500000
405,BULVAR İSTANBUL  DA TAPULU MUHTEŞEM MANZARALI 4+1 DAİRE,Başakşehir, Başakşehir Mahallesi,Konut,4+1,1,30,10-20,205,3,0,0,Merkezi(PayÖlçer),2490000
406," İstanbul Yedi Mavi, 4.5+1 316m², Deniz Manzaralı, Ultra Lüx",Zeytinburnu, Kazlıçeşme Mahallesi,Konut,4+1,0,16,4. Kat,316,4,1,0,YerdenIsıtma,19900000
407, SARIGAZİ ATATÜRK MAH.3+1 YÜKSEK  GİRİŞ  KULLANIŞLI DAİRE,Sancaktepe, Atatürk Mahallesi,Konut,3+1,5-10,4,Giriş,135,1,1,0,KombiDoğalgaz,325000
408,ÖZGÜR İNŞAAT'TAN CEBECİ MAH'DE FERAH 2+1 105M2 ORTA KAT DAİRE,Sultangazi, Cebeci Mahallesi,Konut,2+1,11-20,5,2. Kat,105,1,1,0,KombiDoğalgaz,465000
409,ÖZGÜR İNŞAAT'TAN CEBECİ MH SIFIR CAMLARI GİRİŞ GİBİ YÜKSEK B.KAT,Sultangazi, Cebeci Mahallesi,Konut,2+1,0,5,Bahçe Katı,105,1,1,0,KombiDoğalgaz,340000
410,ÖZGÜR İNŞAAT'TAN UĞURMUMCU MAH SİTEDE LÜX 2+1 110M2 12.KAT,Sultangazi, Uğur Mumcu Mahallesi,Konut,2+1,4,13,10-20,110,1,1,0,KombiDoğalgaz,875000
411,KÜÇÜKÇEKMECE İNÖNÜ MAH SATILIK 2+1 GENİŞ FERAH,Küçükçekmece, İnönü Mahallesi,Konut,2+1,5-10,4,1. Kat,95,1,1,0,KombiDoğalgaz,600000
412,GOLD EMLAK'TAN EYÜP ÇIRÇIR MERKEZDE BUTİK SİTE İÇİ FIRSAT DAİRE,Eyüpsultan, Çırçır Mahallesi,Konut,2+1,0,7,3. Kat,85,1,1,0,KombiDoğalgaz,750000
413,GOLD EMLAK'TAN KARADOLAPDA FIRSAT SİTE İÇİ 5 KAT ARA KAT DAİRE,Eyüpsultan, Karadolap Mahallesi,Konut,2+1,0,10,5. Kat,95,2,1,0,Merkezi(PayÖlçer),585000
414, U.MUMCUDA ASANSÖRLÜ KABA DUBLEX 180M2 VE 2 KAT 2.Sİ BİRDEN,Sultangazi, Uğur Mumcu Mahallesi,Konut,4+2,0,5,Çatı Dubleks,190,2,2,0,KombiDoğalgaz,825000
415,YİĞİTCAN_ÖZEL DEKORLU TERAS BAHÇELİ AYRI MUTFAK+BALKONLU DAİRE,Maltepe, Zümrütevler Mahallesi,Konut,2+1,4,3,Giriş,100,1,1,0,KombiDoğalgaz,298000
416,122 EVLERDE E5 METROYA ÇOK YAKIN ARA KAT FİYATLARA BAŞKA YOK !!!,Maltepe, Zümrütevler Mahallesi,Konut,2+1,5-10,4,1. Kat,90,1,1,0,KombiDoğalgaz,495000
417,Silivri Yeni Mahallede Havuzlu Site İçerisinde 3+1 Satılık Daire,Silivri, Yeni Mahallesi,Konut,3+1,5-10,6,4. Kat,145,2,1,0,Merkezi(PayÖlçer),870000
418,Silivri Yenimahalle de Krediye Uygun 125m² 3+1 Satılık Daire,Silivri, Yeni Mahallesi,Konut,3+1,20,6,3. Kat,135,1,1,0,KombiDoğalgaz,365000
419, Koru Florya Evleri'nde 5+2 Göl Manzaralı Çatı Dubleksi Daire,Bakırköy, Şenlikköy Mahallesi,Konut,5+2,5-10,6,5. Kat,420,5,1,1,MerkeziDoğalgaz,13000000
420,"Bahçeşehir Toros Villaları, Müstakil Havuz ve Bahçeli, 6+2 450m²",Başakşehir, Bahçeşehir 1. Kısım Mahallesi,Konut,6+2,11-20,3,Villa Tipi,450,4,1,0,KombiDoğalgaz,6500000
421,ÜMRANİYE ARMAĞANEVLERDE 2+1 BAHÇE KATI SATILIK SIFIR DAİRE  ,Ümraniye, Armağanevler Mahallesi,Konut,2+1,0,4,Bahçe Katı,90,1,1,0,KombiDoğalgaz,450000
422,SUR YAPI İDİLİA SATIŞ VE KİRALAMA OFİSİNDEN SATILIK 2+1 ARA KAT,Sultanbeyli, Adil Mahallesi,Konut,2+1,4,7,1. Kat,90,1,1,0,Merkezi(PayÖlçer),545000
423," Bakırköy Florya, Site İçi, Orman Manzaralı, 4+1 240m², Ultra Lüx",Bakırköy, Şenlikköy Mahallesi,Konut,4+1,4,4,1. Kat,240,3,3,0,YerdenIsıtma,9000000
424,EMİR YAPI'DAN BEYLİKDÜZÜ YAKUPLU'DA 2+1 LÜX ARA KAT DAİRE.,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,0,5,1. Kat,105,2,1,0,KombiDoğalgaz,650000
425,EMİR YAPI'DAN ÜNİVERSİTE'YE AVM'YE &ULAŞIMA YAKIN 2+1 DAİRE..,Esenyurt, Zafer Mahallesi,Konut,2+1,4,5,4. Kat,100,1,1,0,KombiDoğalgaz,353000
426,EMİR YAPI'DAN AKŞEMSETTİN MAH. ULAŞIMA YAKIN 2+1 ARA KAT DAİRE.,Esenyurt, Akşemseddin Mahallesi,Konut,2+1,4,5,2. Kat,105,1,1,0,KombiDoğalgaz,387500
427,منزل للبيع في مجمع ادم اسطنبول 4+1,Başakşehir, Kayabaşı Mahallesi,Konut,4+1,3,22,10-20,225,2,1,0,Merkezi(PayÖlçer),2600000
428," Pruva 34, Prestijli, Müstakil Bahçeli, Villa Tadında, 4+1 310m²",Bakırköy, Sakızağacı Mahallesi,Konut,4+1,0,16,Bahçe Katı,310,4,1,0,KombiDoğalgaz,9900000
429,"PAMA'dan ÇOK GÜZEL KONUMDA,CADDE ÜZERİ,İSKANLI 2+1 DAİRE",Pendik, Ahmet Yesevi Mahallesi,Konut,2+1,5-10,5,5. Kat,90,1,1,0,KombiDoğalgaz,328000
430,"PAMA'dan PENDİK'te HARİKA KONUMDA,KALİTELİ 3+1 KELEPİR DAİRE",Pendik, Bahçelievler Mahallesi,Konut,3+1,5-10,5,3. Kat,130,2,1,0,KombiDoğalgaz,970000
431,"PAMA'dan ORTA MAHALLEDE,MÜSTAKİL BİNADA,İSKANLI 2+1ARA KAT DAİRE",Tuzla, Orta Mahallesi,Konut,2+1,5-10,4,1. Kat,85,1,1,0,KombiDoğalgaz,330000
432,"AVRUPA EMLAK TAN MİMAR SİNAN MH 125M²3+1 METRORO,KAPALI OTOPARK",Esenler, Mimar Sinan Mahallesi,Konut,3+1,11-20,4,1. Kat,125,1,1,0,KombiDoğalgaz,919000
433, YILMAZ GAYRİMENKULDEN 4+2 200 M2 TEMİZ LÜKS DUBLEKS DAİRE...,Gaziosmanpaşa, Şemsipaşa Mahallesi,Konut,4+2,5-10,3,3. Kat,200,2,2,0,KombiDoğalgaz,850000
434," BEŞİKTAŞ GAYRETTEPEDE OTOPARKLI BİNADA 100m2, 2+1, KOMBİLİ FERAH",Beşiktaş, Gayrettepe Mahallesi,Konut,2+1,20,7,5. Kat,110,1,1,0,KombiDoğalgaz,1250000
435,3A YAPI DAN ESENYURT BEYLİKDÜZÜ SATILIK DAİRE,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,5-10,15,10-20,110,1,1,0,KombiDoğalgaz,675000
436,3A YAPIDAN ELİT SİTE İÇİNDE SATILIK 2+1 GENİŞ DAİRE,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,2+1,5-10,12,5. Kat,145,2,1,0,KombiDoğalgaz,925000
437, ÇEKMEKÖY ASANSÖRLÜ BİNADA KELEPİR NET 105 M2 2+1 ARAKAT DAİRE!,Çekmeköy, Hamidiye Mahallesi,Konut,2+1,5-10,3,1. Kat,120,2,2,0,KombiDoğalgaz,485000
438, Güngören Haznedar Mah 3+1 130m2 2.Kat Bakımlı Satılık Daire,Güngören, Haznedar Mahallesi,Konut,3+1,20,5,2. Kat,135,1,1,0,KombiDoğalgaz,750000
439,YÜZYIL'dan LÜX YAPİLI İÇİ SIFIRLANMIŞ 2+1 85 m2 DAİRE,Üsküdar, Mimar Sinan Mahallesi,Konut,2+1,20,4,4. Kat,85,1,1,0,KombiDoğalgaz,625000
440,+YATIRIMLIK+LEB-İ DERYA BOĞAZ MANZARALI 3+1 110m2 FIRSAT DAİRE,Üsküdar, Sultantepe Mahallesi,Konut,3+1,20,4,2. Kat,110,2,1,0,KombiDoğalgaz,2050000
441, Duru'dan İdealtepe'de 3+1 Harika Konum'da Lüx Daire Daire,Maltepe, İdealtepe Mahallesi,Konut,3+1,5-10,5,3. Kat,120,1,1,0,KombiDoğalgaz,1100000
442, BAHÇELİEVLER BÜŞRA EMLAK TAN E-5 YAKINI 4+1 SATILIK DUBLEX,Bahçelievler, Şirinevler Mahallesi,Konut,4+1,3,5,5. Kat,190,1,1,0,DoğalgazSobalı,1480000
443, YILMAZ GAYRİMENKULDEN 2+1 100 M2 KOMBİLİ TEMİZ KREDİYE UYGUN,Gaziosmanpaşa, Yeni Mahalle Mahallesi,Konut,2+1,11-20,3,3. Kat,100,1,1,0,KombiDoğalgaz,440000
444,Duru'dan İdealtepe'de 2+1 65m2 Bahçe Katında Masrafsız Daire,Maltepe, İdealtepe Mahallesi,Konut,2+1,3,4,Bahçe Katı,65,1,1,0,KombiDoğalgaz,720000
445, Mertcandan yenişehir mah havuzlu site içerisinde 6+2 vİlla,Pendik, Yenişehir Mahallesi,Konut,6+2,11-20,3,3. Kat,350,2,2,1,KombiDoğalgaz,4200000
446, Mertcandan çınardere mah site içerisinde açık balkonlu 2+1 daire,Pendik, Çınardere Mahallesi,Konut,2+1,1,10,1. Kat,105,1,1,1,KombiDoğalgaz,570000
447, Duru'dan Altıntepe'de Masrafsız Marmaraya Yakın 2+1 90 M2 Daire,Maltepe, Altıntepe Mahallesi,Konut,2+1,20,4,4. Kat,100,1,1,0,KombiDoğalgaz,665000
448,BABACAN PREMİUM FOR SALE 3+1 143 M2 TEMİZ FIRSAT DAİRE ,Esenyurt, Zafer Mahallesi,Konut,3+1,0,22,2. Kat,143,2,2,1,Merkezi(PayÖlçer),1050000
449, BEYLİKDÜZÜ YAKUPLU MAH EN NEZİH 2+1 DAİRELERİ RÜZGAR YAPIDAN !!,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,1,6,2. Kat,110,1,1,0,KombiDoğalgaz,192000
450, KOCAMUSTAFAPAŞA DENİZ MANZARALI 17 YILLIK BİNADA 3+2 DAİRE,Fatih, Koca Mustafapaşa Mahallesi,Konut,3+2,11-20,4,Çatı Dubleks,150,2,2,0,KombiDoğalgaz,1200000
451,ÇEKMEKÖY HAMİDİYEDE 1.KAT KONUMUNDA SATILIK 3+1 SATILIK DAİRE,Çekmeköy, Hamidiye Mahallesi,Konut,3+1,5-10,4,1. Kat,120,2,1,0,KombiDoğalgaz,455000
452,LÜK TRIPLEX PENT-HOUSE FOR SALE WITH PANORAMIC VIEW OF ISTANBUL.,Beykoz, Acarlar Mahallesi,Konut,8+ Oda,2,21,Çatı Katı,1200,6,1,0,YerdenIsıtma,252322731
453, AVCILAR MUSTAFA KEMAL PAŞADA 1+1 MUHTEŞEM KONUMDA SATILIK DAİRE,Avcılar, Mustafa Kemal Paşa Mahallesi,Konut,1+1,1,6,5. Kat,85,1,1,0,KombiDoğalgaz,145000
454, BEYKOZ MAHMUTŞEVKETPAŞA AYAZMA EVLERİ KÖŞE PARSEL 3 KATLI VİLLA!,Beykoz, Mahmutşevketpaşa Mahallesi,Konut,6+3,11-20,3,Villa Tipi,320,4,4,0,KombiDoğalgaz,6500000
455,PANORAMADAN FERAH CADDESİNDE 2+1 100 M2 ARAKAT SIFIR DAİRE,Üsküdar, Ferah Mahallesi,Konut,2+1,0,5,4. Kat,100,1,1,0,KombiDoğalgaz,849000
456,ÇENGELKÖYDE İSKANLI 3+1 160 M2 BAHÇE KULLANIMLI TERS DUBLEKS,Üsküdar, Küçüksu Mahallesi,Konut,3+1,0,5,Giriş,160,2,1,0,KombiDoğalgaz,2675000
457, AVCILAR ÜNİVERSİTE MAH METROBÜSE YAKIN MASRAFSIZ SATILIK DAİRE,Avcılar, Üniversite Mahallesi,Konut,3+1,20,4,1. Kat,110,1,1,0,KombiDoğalgaz,535000
458, BEYLİKDÜZÜ CUMHURİYET MAH MERKEZİ KONUMDA ASANSÖRLÜ DAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,1,8,6. Kat,130,2,1,0,KombiDoğalgaz,284000
459, PENDİK ESENYALIDA ACİL SATILIK KREDİ 2+1 YÜKSEK GİRİŞ DAİRE,Pendik, Orhangazi Mahallesi,Konut,2+1,5-10,4,Giriş,85,1,2,0,KombiDoğalgaz,240000
460," Cheapest Price, Brand New Apartment For Sale in Beylikduzu",Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,5-10,4,Bodrum,90,2,1,0,MerkeziDoğalgaz,210000
461, Mertcandan güllübağlar mah sıfır binada 2+1 balkonlu 90m2 daire,Pendik, Güllü Bağlar Mahallesi,Konut,2+1,0,5,5. Kat,90,1,1,0,KombiDoğalgaz,385000
462,FUL YAPILI GENİŞ FERAH WC BANYO AYRI BALKONLU 1.KAT 2+1 DAİRE,Bağcılar, Yıldıztepe Mahallesi,Konut,2+1,20,4,1. Kat,90,1,1,0,KombiDoğalgaz,279000
463, ANADOLU KONUTLARI İLE TEK DAİRE FİYATINA 2 DAİRE KONFORU YAŞAYIN,Çekmeköy, Mimar Sinan Mahallesi,Konut,4+2,0,5,4. Kat,190,2,2,0,KombiDoğalgaz,989999
464,GENİŞ VE FERAH ASANSÖRLÜ KAPALI OTOPARKLI DUBLEX ,Sancaktepe, Meclis Mahallesi,Konut,4+1,11-20,4,Çatı Dubleks,200,2,2,0,KombiDoğalgaz,786000
465, MASLAK SARIYER ECLİPSE FIRSAT 4+1 SATILIK DAİRE,Sarıyer, Maslak Mahallesi,Konut,4+1,5-10,30,21-29,220,2,1,1,Merkezi(PayÖlçer),5100000
466,BAĞDAT CADDESİ SUADİYE SAHİL TARAFINDA  SATILIK 3+1 DAİRE,Kadıköy, Suadiye Mahallesi,Konut,3+1,5-10,5,4. Kat,135,1,1,0,KombiDoğalgaz,3795000
467, RE/MAX FLY'DAN TARABYA'NIN EN AKTİVİTELİ SİTESİNDE SATILIK DAİRE,Sarıyer, Tarabya Mahallesi,Konut,3+1,11-20,5,2. Kat,180,2,1,0,KombiDoğalgaz,8000000
468, !FIRSAT! ÇENGELKÖY ATA2 DE ÇIKIŞA 100 MT İÇİ YAPILI 145 M2 DAİRE,Üsküdar, Bahçelievler Mahallesi,Konut,3+1,20,4,3. Kat,145,1,1,1,MerkeziDoğalgaz,835000
469, AS EMLAK’TAN 2+1 İCADİYE’DE FULL YAPILI 100M2 ÇATI KATI DAİRE,Üsküdar, İcadiye Mahallesi,Konut,2+1,20,5,Çatı Katı,100,1,1,0,KombiDoğalgaz,480000
470,Beylikdüzü Beykent 11.Mahalle Projesinde 3+1 150m2 Satılık Daire,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+1,1,12,1. Kat,150,2,1,0,KombiDoğalgaz,1235000
471, ŞAŞKINBAKKALDA 3+1 105 M2 NET 2 YILLIK BİNA LÜKS DAİRE,Kadıköy, Erenköy Mahallesi,Konut,3+1,2,14,10-20,140,2,1,0,Merkezi(PayÖlçer),3995000
472, SİLKROAD RESİDENCE MÜSTAKİL BAHÇELİ 123 M2 2+1 SATILIK DAİRE,Pendik, Kurtköy Mahallesi,Konut,2+1,4,7,Bahçe Katı,110,2,1,0,Merkezi(PayÖlçer),975000
473, Sarıyer Zekeriyaköy'de Site içinde 4+1 Çatı Dubleksi,Sarıyer, Zekeriyaköy Mahallesi,Konut,4+1,20,6,4. Kat,232,6,1,0,MerkeziDoğalgaz,1600000
474, ARIKOĞLUNDAN ASANSÖRLÜ 3+1 120M2 TOPRAK HİSSELİ ÇİFT CEPHELİ1KAT,Sultangazi, Uğur Mumcu Mahallesi,Konut,3+1,11-20,5,1. Kat,130,1,2,0,KombiDoğalgaz,425000
475, ORHANGAZİ CD DE 100 M2 YÜKSEK KİRA GETİRİLİ YATIRIMCIYA EŞYALI,Maltepe, Cevizli Mahallesi,Konut,1+1,20,11,Giriş,100,1,1,0,KombiDoğalgaz,410000
476,SATILIK BEYLİKDÜZÜN'DE METROBÜSE YÜRÜME MESAFESİNDE LÜKS DAİRE !!,Beylikdüzü, Yakuplu Mahallesi,Konut,3+1,0,6,1. Kat,140,2,1,0,KombiDoğalgaz,789000
477,EVSELL DEN SİNPAŞ EGEBOYU'NDA 1+0 SATILIK DAİRE,Sancaktepe, Abdurrahmangazi Mahallesi,Konut,Stüdyo,4,10,6. Kat,52,1,1,0,YerdenIsıtma,325000
478, Mertcandan çınarde mah havuzlu güvenlikli site içerisinde 2+1,Pendik, Çınardere Mahallesi,Konut,2+1,3,9,2. Kat,95,1,1,1,KombiDoğalgaz,580000
479,NOFT YAPI'DAN SATILIK LÜKS FULL + FULL SİTE İÇİ BALKONLU DAİRE ,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,3,25,21-29,110,2,1,0,KombiDoğalgaz,559000
480,ÇOK BAKMAYIN NAZAR DEĞECEK DEDİRTEN ŞIK TASARIMLI 3+1 DAİRE !!!,Esenyurt, Güzelyurt Mahallesi,Konut,3+1,2,4,Giriş,165,1,1,0,Merkezi(PayÖlçer),840000
481,50 BİN TL İLE EV SAHIBI OLMAK İSTERMİSİNİZ O ZAMAN HEMEN ARAYIN:),Esenyurt, Güzelyurt Mahallesi,Konut,2+1,5-10,4,Giriş,105,1,1,0,KombiDoğalgaz,215000
482," Yayla Merkezde Masrafsız Ferah Satılık Daire, 3+1 Kombili 5.Kat",Bahçelievler, Siyavuşpaşa Mahallesi,Konut,3+1,20,5,5. Kat,120,1,1,0,KombiDoğalgaz,450000
483,19 MAYIS MAH. MİNİBÜS CAD VE BAYAR CAD ARASI GENİŞ M2 3+1 DAİRE,Kadıköy, 19 Mayıs Mahallesi,Konut,3+1,20,9,7. Kat,155,1,1,0,MerkeziDoğalgaz,1265000
