,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
461,15,137,0,2,4,5,18,34,1,1,0,4,450000
462,21,294,0,1,4,2,6,14,1,1,0,4,165000
463,3,41,0,2,5,2,2,34,1,1,0,4,1200000
464,20,277,0,4,4,4,9,67,1,1,0,4,335000
465,17,174,0,2,4,3,6,53,1,2,0,4,485000
466,21,124,0,2,0,3,4,30,1,1,0,4,559000
467,15,18,0,2,4,5,10,26,1,1,0,4,500000
468,23,145,0,2,1,2,4,51,1,1,0,4,500000
469,21,294,0,4,1,3,9,74,2,2,0,4,580000
470,13,44,0,2,6,4,4,44,1,1,0,4,280000
471,3,131,0,4,4,3,9,79,2,1,0,4,615000
472,35,123,0,2,7,10,6,53,1,1,0,4,700000
473,24,207,0,2,0,3,4,30,2,1,0,4,479000
474,24,5,0,2,0,3,4,39,1,1,0,4,435000
475,1,256,0,4,4,6,10,64,1,1,0,4,725000
476,24,207,0,2,6,3,4,34,1,1,0,4,350000
477,4,302,0,2,4,2,18,61,1,1,0,4,1100000
478,31,222,0,2,3,4,2,41,2,1,0,4,475000
479,21,171,0,2,7,3,22,23,1,1,0,4,27000
480,7,42,0,4,1,26,4,87,2,1,0,7,1340000
481,32,171,0,4,7,11,12,57,1,1,0,4,672500
482,15,39,0,1,4,3,17,34,1,1,0,8,300000
483,9,122,0,2,4,3,6,34,2,1,0,4,360000
484,21,29,0,1,7,18,3,29,1,1,0,7,1150000
485,11,33,0,2,2,3,4,39,1,1,0,4,650000
486,35,248,0,1,7,6,1,18,1,1,0,4,175000
487,15,39,0,2,4,3,18,30,1,1,0,4,340000
488,10,238,0,1,4,4,16,18,1,1,0,4,465000
489,22,158,0,2,4,3,4,34,1,1,0,4,695000
490,31,171,0,4,0,3,6,64,1,1,0,4,710000
491,31,171,0,2,0,3,18,39,1,1,0,4,519000
492,20,107,0,2,4,4,9,34,1,1,0,4,330000
493,7,54,0,4,2,9,9,64,1,1,1,4,1100000
494,10,184,0,1,4,4,18,14,1,1,0,4,385000
495,15,210,0,1,4,2,18,14,1,1,0,1,285000
496,24,211,0,6,7,4,10,81,2,1,0,4,680000
497,29,38,0,1,7,13,18,11,1,1,0,7,445000
498,23,303,0,4,7,3,9,81,2,2,0,4,699000
499,21,107,0,2,4,4,16,44,1,1,0,4,195000
500,31,275,0,2,0,3,22,30,1,1,0,4,339000
501,3,219,0,2,5,4,6,49,1,1,0,4,750000
502,17,130,0,2,4,4,6,30,1,1,0,4,330000
503,17,111,0,4,2,2,2,61,1,2,0,4,685000
504,18,173,0,2,4,4,4,44,1,1,0,4,1200000
505,22,22,0,4,6,3,6,67,1,1,0,4,990000
506,22,291,0,4,4,3,6,77,2,1,0,8,1150000
507,13,262,0,2,6,4,2,39,1,1,0,4,350000
508,8,245,0,2,6,17,3,61,1,1,0,4,499000
509,21,107,0,2,7,2,4,34,1,1,0,4,750000
510,13,214,0,2,7,5,4,53,1,1,0,4,270000
511,8,70,0,4,0,7,6,70,1,2,0,4,225000
512,8,143,0,4,0,5,6,72,1,2,0,4,490000
513,8,57,0,1,0,6,4,33,1,1,0,4,125000
514,8,70,0,2,0,4,6,49,1,2,0,4,353000
515,17,14,0,2,4,3,2,39,1,1,0,4,550000
516,3,41,0,4,4,2,4,74,1,1,0,8,1150000
517,21,250,0,2,7,1,16,23,1,1,0,4,245000
518,24,262,0,2,5,3,6,34,1,1,0,4,359000
519,24,90,0,2,0,3,9,53,1,1,0,4,428000
520,24,90,0,4,0,3,4,61,2,1,0,4,545000
521,33,61,0,4,2,3,4,64,1,2,0,4,800000
522,17,174,0,2,4,3,18,44,1,1,0,4,315000
523,6,294,0,2,4,4,9,44,1,1,0,4,285000
524,31,171,0,7,0,4,21,92,3,2,0,4,1099000
525,23,242,0,2,7,3,9,39,1,2,0,4,427000
526,23,303,0,2,3,6,6,39,2,2,0,4,530000
527,14,103,0,2,2,3,18,67,2,2,0,4,890000
528,1,300,0,6,6,4,10,90,3,1,0,4,1290000
529,19,32,0,4,1,22,13,77,2,1,0,7,1335000
530,33,280,0,4,4,3,6,64,2,1,0,4,820000
531,20,174,0,4,2,4,10,61,2,1,0,4,600000
532,8,143,0,2,0,3,6,53,2,1,0,4,719000
533,8,143,0,2,0,3,9,61,1,1,0,4,590000
534,16,212,0,2,7,10,12,56,1,1,0,7,950000
535,16,212,0,2,7,10,10,55,1,1,0,7,800000
536,22,22,0,1,6,3,18,10,1,1,0,7,575000
537,22,22,0,4,4,5,10,61,1,1,0,4,920000
538,24,197,0,2,5,4,18,61,1,1,0,4,262000
539,13,53,0,2,7,5,16,44,1,1,0,4,245000
540,13,202,0,2,0,5,6,44,1,1,0,4,360000
541,0,262,0,5,0,4,10,92,2,1,0,4,490000
542,32,299,0,2,0,8,2,25,1,1,0,4,675000
543,32,299,0,2,0,8,2,25,1,1,0,4,675000
544,13,232,0,2,0,5,4,34,1,1,0,4,284000
545,13,200,0,2,0,5,2,44,1,1,0,4,305000
546,13,26,0,2,3,5,2,34,1,1,0,4,269000
547,13,177,0,2,0,3,16,53,1,1,0,4,139000
548,8,245,0,2,6,4,6,44,1,1,0,4,465000
549,24,175,0,5,0,2,6,74,2,1,0,4,490000
550,13,262,0,2,0,4,4,44,1,1,0,4,330000
551,27,7,0,8,0,2,6,81,2,1,0,4,685000
552,21,107,0,2,7,2,18,34,1,1,0,4,450000
553,16,174,0,2,4,2,4,26,1,1,0,4,380000
554,32,159,0,4,5,4,4,53,1,1,0,4,765000
555,8,245,0,1,0,4,18,26,1,1,0,4,229000
556,13,254,0,2,7,4,16,44,1,1,0,4,245000
557,6,255,0,2,4,4,2,53,1,1,0,4,355000
558,28,3,0,1,2,4,6,30,1,1,0,0,265000
559,27,179,0,2,0,4,6,34,2,1,0,4,485000
560,13,44,0,2,6,5,4,49,1,1,0,8,345000
561,13,193,0,2,7,4,18,44,1,1,0,4,272000
562,14,296,0,7,5,4,21,106,2,2,0,4,1550000
563,13,282,0,2,6,5,4,53,1,1,0,4,290000
564,19,199,0,2,7,3,9,44,1,1,0,4,665000
565,27,7,0,2,6,7,13,71,2,1,1,7,1110000
566,6,148,0,2,4,4,10,64,1,1,0,4,350000
567,7,144,0,2,7,8,12,23,1,1,0,7,530000
568,28,297,0,4,2,4,4,64,1,1,0,4,700000
569,8,57,0,4,0,14,13,67,2,2,0,4,259000
570,21,294,0,7,1,3,9,95,2,2,0,4,890000
571,18,59,0,4,4,6,6,74,1,1,0,8,1565000
572,13,237,0,1,6,13,14,26,1,1,0,7,850000
573,5,142,0,2,2,2,4,57,1,1,0,4,730000
574,5,187,0,4,7,4,2,57,1,1,0,4,770000
575,13,282,0,4,7,10,11,79,2,1,0,4,795000
576,18,59,0,4,4,4,4,70,2,1,0,8,1545000
577,27,179,0,2,0,5,10,30,1,1,0,4,365000
578,13,294,0,2,1,3,16,44,1,1,0,4,210000
579,21,29,0,2,4,16,10,34,1,1,0,8,700000
580,24,197,0,4,5,4,18,74,2,1,0,4,259000
581,4,31,0,2,4,13,3,57,1,1,0,8,1600000
582,19,243,0,5,7,14,3,94,2,1,0,4,1300000
583,13,257,0,2,7,24,3,57,2,1,0,7,535000
584,13,70,0,4,0,14,11,67,1,1,0,4,258000
585,13,214,0,4,5,4,16,61,1,1,0,4,265000
586,15,150,0,2,4,3,6,30,1,1,0,4,520000
587,35,105,0,0,2,3,0,23,1,1,0,4,340000
588,35,105,0,2,6,4,6,30,1,1,0,4,455000
589,31,273,0,2,0,2,2,30,1,1,0,4,565000
590,23,75,0,5,6,4,10,87,2,1,0,4,670000
591,20,277,0,2,4,5,10,34,1,1,0,4,280000
592,24,147,0,2,0,4,18,44,1,1,0,4,399000
593,3,267,0,1,0,3,16,14,1,1,0,4,280000
594,3,252,0,1,0,3,16,14,1,1,0,4,280000
595,31,174,0,2,7,2,4,39,1,2,0,4,480000
596,14,182,0,3,0,3,21,77,2,2,0,4,1150000
597,18,208,0,1,0,30,3,23,1,1,0,7,1500000
598,2,69,0,9,7,2,21,107,3,3,0,4,1250000
599,35,198,0,2,6,4,6,34,1,1,0,4,555000
600,19,246,0,9,7,2,21,87,2,1,0,4,1580000
601,2,69,0,2,7,2,4,34,1,1,0,4,550000
602,3,220,0,1,2,4,16,23,1,1,0,4,160000
603,31,125,0,2,0,3,16,34,1,1,0,4,320000
604,21,228,0,2,3,3,4,44,1,1,0,4,725000
605,3,220,0,2,4,4,10,53,1,1,0,4,380000
606,3,219,0,2,4,2,18,44,1,1,0,4,285000
607,18,104,0,2,5,8,18,34,1,1,0,4,1150000
608,32,27,0,2,2,4,18,34,1,1,0,4,500000
609,13,44,0,2,5,5,4,44,1,1,0,4,285000
610,23,156,0,6,2,1,18,35,1,1,0,4,685000
611,3,220,0,2,4,5,10,34,1,1,0,4,350000
612,18,155,0,2,0,9,13,34,2,1,0,4,1545000
613,21,124,0,2,2,7,18,18,1,1,0,4,305000
614,7,144,0,2,6,22,1,40,1,1,0,7,550000
615,23,156,0,4,2,3,4,74,1,2,1,4,535000
616,6,161,0,2,6,7,2,53,1,1,0,4,795000
617,15,150,0,1,4,3,18,10,1,1,0,4,325000
618,23,95,0,2,1,8,4,40,1,1,0,7,718000
619,3,220,0,2,7,3,2,34,1,1,0,4,620000
620,24,262,0,2,0,3,21,53,1,1,0,4,350000
621,24,175,0,2,5,3,4,30,2,2,0,4,353000
622,19,244,0,2,6,15,3,49,2,2,1,7,880000
623,13,202,0,2,7,5,6,39,1,1,0,4,330000
624,23,274,0,2,3,6,18,26,1,1,0,4,388000
625,13,267,0,4,3,21,10,83,2,2,1,7,1450000
626,13,254,0,4,7,5,9,67,1,1,0,4,445000
627,31,77,0,2,0,4,4,53,1,1,0,4,379000
628,22,291,0,2,0,3,16,26,1,1,0,4,660000
629,31,77,0,2,0,4,4,53,2,2,0,4,559000
630,8,8,0,4,7,5,18,77,1,1,0,4,785000
631,8,245,0,2,0,3,2,44,1,1,0,4,389000
632,31,77,0,2,0,4,6,61,1,1,0,4,519000
633,8,143,0,1,1,3,18,34,1,1,0,4,539000
634,2,69,0,2,4,3,4,44,1,1,0,4,240000
635,8,143,0,2,1,3,16,34,1,1,0,4,350000
636,23,303,0,4,0,6,2,64,1,2,0,4,699000
637,21,107,0,2,0,2,4,34,1,1,0,4,675000
638,13,120,0,2,7,3,4,47,1,1,0,4,210500
639,2,174,0,2,0,4,2,44,1,1,0,4,890000
640,11,2,0,5,5,3,21,92,1,1,0,4,680000
641,21,294,0,7,7,2,4,103,2,1,0,4,794500
642,17,14,0,2,4,3,18,26,1,1,0,4,325000
643,22,22,0,2,7,3,2,34,1,1,0,4,660000
644,17,130,0,2,4,4,18,30,1,1,0,4,365000
645,15,150,0,2,2,3,18,39,1,1,0,4,630000
646,22,291,0,4,7,3,9,70,2,2,0,4,1400000
647,27,179,0,4,0,4,6,74,2,1,0,4,475000
648,24,5,0,2,1,3,18,77,2,1,0,4,363000
649,24,294,0,2,0,3,4,39,2,1,0,4,460000
650,31,36,0,2,7,4,10,61,1,1,0,4,419000
651,23,242,0,2,0,5,10,39,1,1,0,4,485000
652,23,242,0,2,0,6,16,53,1,2,0,4,460000
653,13,120,0,4,1,3,4,80,2,2,0,7,870000
654,13,202,0,2,6,4,6,53,1,1,0,4,285000
655,8,143,0,2,0,5,4,53,1,1,0,4,385000
656,12,236,0,2,6,3,4,14,1,1,0,4,300000
657,8,70,0,2,0,8,4,55,1,1,0,4,195000
658,13,257,0,2,3,5,9,64,1,1,0,4,345000
659,13,214,0,1,0,4,6,39,1,1,0,4,245000
660,31,77,0,2,0,4,4,39,1,1,0,4,365000
661,13,49,0,2,0,4,4,49,1,1,0,4,370000
662,35,248,0,2,7,4,2,30,1,1,0,4,650000
663,8,113,0,4,6,4,9,70,1,1,0,4,785000
664,33,215,0,2,4,4,6,30,1,1,0,4,345000
665,27,49,0,4,3,5,16,82,2,1,0,7,1500000
666,23,283,0,2,5,8,4,34,1,1,1,4,580000
667,23,156,0,2,0,8,2,39,1,1,0,4,525000
668,21,224,0,1,0,2,16,8,1,1,0,4,295000
669,13,120,0,2,5,3,4,46,1,1,0,4,285500
670,13,70,0,1,7,11,13,18,1,1,0,7,445000
671,31,171,0,4,0,4,18,61,2,2,0,4,690000
672,22,22,0,1,6,4,18,10,1,1,1,8,575000
673,8,143,0,4,1,3,2,79,1,1,0,4,790000
674,13,214,0,2,7,3,4,39,1,1,0,4,275000
675,13,282,0,2,6,3,4,44,1,1,0,4,290000
676,31,171,0,4,0,4,21,61,2,2,0,4,690000
677,0,129,0,4,6,4,2,79,2,1,0,4,730000
678,14,174,0,5,0,3,6,81,2,2,0,4,1000000
679,20,174,0,2,3,15,4,36,1,1,1,4,870000
680,10,238,0,4,4,3,4,53,1,0,0,4,1150000
681,32,189,0,6,0,3,9,90,1,1,0,4,850000
682,21,171,0,4,1,4,4,67,1,1,1,4,650000
683,21,294,0,2,4,6,12,95,1,1,0,4,380000
684,27,179,0,2,0,5,4,30,2,1,0,4,355000
685,19,221,0,4,2,5,2,53,1,1,0,4,475000
686,35,123,0,2,2,10,6,53,1,1,0,4,700000
687,3,220,0,2,0,4,9,44,1,2,0,4,750000
688,21,294,0,2,4,4,10,53,1,1,0,4,232000
689,35,105,0,2,2,8,13,39,1,1,0,4,450000
690,27,179,0,4,0,5,4,57,1,1,0,4,452000
691,22,22,0,2,5,3,2,34,1,1,0,7,860000
692,21,33,0,2,0,3,18,34,1,1,0,4,400000
693,21,294,0,6,3,3,6,87,2,1,0,4,614000
694,20,277,0,2,0,4,0,44,1,1,0,4,420000
695,35,105,0,1,7,7,2,18,1,1,0,4,255000
696,5,142,0,4,2,3,0,74,1,1,0,4,575000
697,20,277,0,2,7,5,1,57,2,1,0,4,440000
698,3,219,0,4,4,5,4,61,1,2,0,0,410000
699,21,33,0,2,2,4,6,61,1,1,0,4,350000
700,35,105,0,2,2,8,14,23,1,1,0,4,350000
701,27,179,0,4,1,5,6,44,1,1,0,4,449000
702,0,28,0,2,2,4,2,53,1,1,0,4,418000
703,1,47,0,14,7,32,8,8,1,1,1,10,925000
704,8,245,0,4,1,4,4,79,1,1,0,4,760000
705,21,171,0,2,2,4,18,30,1,1,0,4,225000
706,13,202,0,1,7,23,12,23,1,1,1,7,240000
707,13,49,0,1,6,4,18,18,1,1,0,4,195000
708,15,231,0,2,4,4,17,26,1,1,0,4,180000
709,13,202,0,1,7,23,6,23,1,1,1,7,240000
710,3,304,0,4,7,4,9,61,1,1,0,4,850000
711,13,200,0,1,0,14,4,18,1,1,0,4,285000
712,20,277,0,1,2,2,18,5,1,1,0,9,130000
713,5,195,0,2,7,2,4,44,1,2,0,2,585000
714,4,142,0,2,4,8,16,30,1,1,0,8,320000
715,1,300,0,2,0,5,6,39,1,1,0,4,645000
716,32,189,0,4,0,5,10,64,2,1,0,4,1050000
717,2,188,0,2,4,3,4,34,1,1,0,4,385000
718,20,225,0,2,0,13,4,26,1,1,0,4,990000
719,13,190,0,2,6,4,2,53,1,1,0,4,300000
720,3,41,0,2,3,3,2,30,2,1,0,4,1500000
721,27,167,0,2,6,6,6,39,1,0,0,4,400000
722,23,127,0,4,2,8,9,64,2,1,0,4,589000
723,3,70,0,4,7,3,9,79,1,1,0,4,560000
724,13,172,0,2,0,4,2,55,1,2,0,4,172000
725,31,222,0,2,0,4,2,33,2,1,0,4,475000
726,13,267,0,2,0,5,9,44,1,1,0,4,465000
727,13,190,0,2,0,5,6,44,1,1,0,4,300000
728,13,70,0,2,7,28,2,57,2,1,0,7,770000
729,13,70,0,1,7,10,3,23,1,1,0,7,605000
730,22,282,0,4,2,3,18,57,1,1,0,4,835000
731,23,10,0,2,0,4,4,30,1,1,0,4,375000
732,9,122,0,2,4,3,6,34,1,1,0,4,390000
733,21,258,0,2,4,5,11,34,1,2,0,4,280000
734,24,207,0,2,5,3,18,64,1,1,0,4,268000
735,23,242,0,9,1,4,10,106,2,3,0,4,725000
736,17,130,0,4,4,4,2,67,1,1,0,4,650000
737,26,251,0,4,4,5,6,70,1,1,0,4,365000
738,13,70,0,4,0,14,11,67,1,2,0,4,255000
739,23,106,0,4,0,8,6,78,2,2,0,4,890000
740,13,206,0,1,1,4,4,30,1,1,0,4,130000
741,26,251,0,4,5,4,2,83,2,2,0,4,1300000
742,8,245,0,1,3,4,6,30,1,1,0,4,132000
743,13,120,0,2,0,5,6,53,1,2,0,4,363000
744,2,69,0,2,1,4,18,53,1,1,0,4,169000
745,11,181,0,4,2,2,21,81,2,2,1,4,1200000
746,2,188,0,2,1,4,9,53,1,1,0,4,173000
747,29,248,0,2,0,6,9,39,1,1,1,7,750000
748,13,206,0,2,0,3,4,57,2,1,0,4,190000
749,8,70,0,4,1,4,9,67,2,2,0,4,280000
750,11,33,0,5,3,3,9,97,2,2,0,4,1450000
751,13,172,0,2,0,4,6,53,2,1,0,4,199000
752,13,70,0,2,0,3,16,44,2,1,0,4,135000
753,21,70,0,6,7,3,21,87,2,2,0,4,730000
754,0,25,0,2,0,3,2,34,1,1,0,4,500000
755,0,25,0,6,0,3,9,81,2,1,0,4,550000
756,0,25,0,2,0,3,2,34,1,1,0,4,500000
757,20,174,0,1,7,13,3,14,1,1,0,7,750000
758,14,76,0,2,7,9,11,34,2,1,0,4,720000
759,6,51,0,1,7,13,10,28,1,1,0,7,650000
760,13,172,0,4,7,4,4,74,1,1,0,4,445000
761,22,20,0,2,4,8,18,53,1,1,0,4,670000
762,8,165,0,6,3,8,12,106,2,1,0,4,1590000
763,22,96,0,1,4,3,18,8,1,1,0,4,258000
764,24,197,0,4,0,3,4,61,1,1,0,4,478000
765,28,262,0,7,0,4,10,93,2,1,0,4,975000
766,16,250,0,2,0,4,4,44,1,1,0,4,675000
767,21,171,0,2,2,5,9,34,1,1,0,4,236000
768,23,256,0,4,4,7,12,54,2,2,1,4,550000
769,7,144,0,2,6,11,6,77,2,2,1,7,1290000
770,24,79,0,4,7,7,11,85,2,1,0,7,1025000
771,8,8,0,2,6,19,3,79,1,1,0,4,1039000
772,3,220,0,4,7,4,6,67,1,1,0,4,850000
773,13,282,0,4,0,5,6,67,1,1,0,4,390000
774,32,299,0,4,7,9,13,64,1,1,0,4,850000
775,13,232,0,2,7,5,6,67,1,1,0,4,348000
776,13,262,0,2,0,4,18,44,1,1,0,4,260000
777,25,34,0,2,0,14,3,46,1,1,0,7,1600000
778,3,267,0,2,7,3,6,39,1,1,0,4,520000
779,19,70,0,4,0,4,4,57,1,1,0,4,650000
780,20,174,0,1,7,13,3,14,1,1,0,7,700000
781,20,107,0,1,6,13,3,1,1,1,0,7,390000
782,3,304,0,2,4,4,6,30,1,1,0,4,425000
783,3,267,0,4,7,3,6,64,1,1,0,4,625000
784,8,245,0,4,0,6,9,67,1,1,0,4,238000
785,8,8,0,4,4,10,10,79,1,1,0,4,700000
786,20,225,0,2,0,13,4,26,1,1,0,4,990000
787,21,294,0,2,4,3,4,53,1,1,0,4,280000
788,14,118,0,6,0,3,9,67,2,1,0,4,665000
789,8,143,0,2,6,4,4,39,1,1,0,0,530000
790,13,292,0,2,6,3,2,44,1,1,0,4,280000
791,13,200,0,2,5,17,12,53,1,1,0,4,649000
792,24,197,0,7,7,3,18,81,2,1,0,4,385000
793,19,140,0,4,2,7,18,64,1,1,0,4,520000
794,31,125,0,4,2,4,4,70,1,1,0,4,525000
795,24,5,0,8,0,3,15,100,1,1,0,4,430000
796,15,217,0,1,6,2,16,17,1,1,0,4,300000
797,15,216,0,1,4,2,18,10,1,1,0,4,315000
798,32,78,0,1,0,13,18,8,1,1,0,7,425000
799,15,128,0,4,4,3,4,74,1,2,0,4,950000
800,3,219,0,2,4,4,18,64,1,2,0,4,410000
801,23,75,0,3,1,3,9,97,2,1,0,4,950000
802,13,206,0,4,6,3,4,70,1,1,0,4,550000
803,19,131,0,2,2,3,4,53,1,2,0,4,450000
804,29,176,0,1,7,4,6,10,1,1,1,7,250000
805,1,294,0,2,3,5,18,26,1,1,0,4,530000
806,24,169,0,1,6,3,2,18,1,1,0,4,345000
807,14,259,0,4,2,4,4,48,1,2,0,4,615000
808,14,182,0,2,0,3,16,49,2,2,0,4,850000
809,10,184,0,2,4,4,18,18,1,1,0,4,650000
810,13,267,0,0,7,13,2,2,1,1,1,7,280000
811,26,213,0,1,2,0,18,114,1,1,0,9,165000
812,5,152,0,1,7,17,11,16,1,1,0,7,780000
813,2,72,0,2,1,3,2,30,1,1,0,4,550000
814,15,249,0,2,4,3,17,18,1,1,0,4,325000
815,32,27,0,2,2,4,18,30,1,1,0,4,520000
816,14,80,0,2,6,3,18,34,2,1,0,4,398000
817,31,273,0,4,2,4,4,64,1,1,0,4,630000
818,31,171,0,2,7,4,4,39,1,1,0,4,625000
819,11,272,0,4,2,11,9,73,1,2,1,4,600000
820,20,277,0,4,5,3,6,64,1,1,0,4,668000
821,20,277,0,2,6,14,2,61,1,1,1,4,635000
822,8,62,0,4,4,13,11,83,1,2,0,4,765000
823,14,118,0,2,0,3,18,10,1,1,0,4,350000
824,16,135,0,1,6,23,3,34,1,1,0,7,860000
825,18,64,0,4,4,5,6,16,1,1,0,4,45000
826,19,276,0,4,6,4,6,61,1,1,0,4,825000
827,5,152,0,2,7,8,13,60,2,1,0,7,1555000
828,35,160,0,2,4,5,6,30,1,1,0,4,270000
829,7,116,0,2,6,3,2,44,1,1,0,4,500000
830,18,223,0,2,7,9,4,13,1,1,0,4,45000
831,18,205,0,2,4,0,18,19,1,1,0,0,600000
832,2,97,0,2,7,4,10,70,1,1,0,4,350000
833,7,116,0,2,3,3,18,26,1,1,0,4,370000
834,18,59,0,4,4,5,6,51,1,1,0,8,45000
835,19,153,0,2,0,8,4,26,1,1,0,4,890000
836,35,248,0,1,7,6,1,18,1,1,0,4,175000
837,8,48,0,4,2,13,13,77,1,1,0,4,750000
838,24,197,0,1,2,33,18,26,1,1,0,4,178000
839,33,92,0,4,7,3,6,74,1,1,0,4,810000
840,24,90,0,6,3,2,18,74,1,1,0,4,260000
841,23,274,0,4,4,4,9,77,1,1,0,4,340000
842,28,227,0,2,7,4,4,34,1,1,0,4,435000
843,28,297,0,2,0,4,18,39,1,1,0,4,415000
844,13,232,0,4,0,4,6,67,1,1,0,4,440000
845,13,237,0,2,0,4,4,34,1,1,0,4,340000
846,13,202,0,2,0,4,16,53,1,1,0,4,210000
847,23,84,0,4,2,3,18,57,1,1,0,4,280000
848,8,143,0,5,5,3,6,90,2,1,0,4,880000
849,3,219,0,2,4,4,9,61,1,2,0,4,720000
850,23,194,0,4,2,4,10,79,1,2,0,4,350000
851,8,143,0,4,1,5,6,67,2,1,0,4,335000
852,16,174,0,2,7,4,16,26,1,1,0,8,260000
853,10,73,0,1,4,3,18,10,1,1,0,4,650000
854,26,251,0,4,4,5,6,70,1,1,0,4,365000
855,25,166,0,14,7,29,3,8,1,1,0,4,1200000
856,23,194,0,4,2,4,6,79,1,2,0,4,325000
857,13,11,0,2,5,17,3,53,1,1,1,4,530000
858,8,70,0,4,0,3,18,57,1,2,0,4,329000
859,14,174,0,2,7,4,4,39,1,2,0,4,480000
860,14,19,0,2,0,10,12,39,1,1,0,7,825000
861,21,66,0,2,0,2,2,34,1,1,0,4,830000
862,17,115,0,2,0,4,4,39,1,1,0,4,890000
863,33,9,0,2,4,3,9,30,1,1,0,4,485000
864,3,41,0,2,0,3,4,34,2,1,0,4,1340000
865,19,243,0,2,0,11,2,42,1,1,0,4,415000
866,24,197,0,2,7,3,4,39,1,1,0,4,390000
867,33,241,0,2,4,3,6,34,1,0,0,4,425000
868,32,191,0,2,6,8,13,56,2,1,0,4,1075000
869,15,210,0,1,4,2,18,14,1,1,0,1,285000
870,31,179,0,4,7,3,16,34,1,0,0,4,350000
871,31,36,0,2,0,4,6,44,1,1,0,4,504000
872,19,140,0,2,7,4,16,30,1,2,0,4,422500
873,24,262,0,6,6,3,21,96,3,1,0,4,475000
874,13,262,0,4,7,4,4,74,1,1,0,4,380000
875,16,146,0,2,0,4,2,42,1,1,0,4,555000
876,8,245,0,2,5,4,2,53,1,1,0,4,554000
877,16,146,0,2,0,4,18,30,1,1,0,4,425000
878,0,163,0,2,0,3,4,14,1,1,0,4,390000
879,17,130,0,4,4,3,6,67,1,1,0,4,600000
880,16,146,0,2,0,4,16,26,1,1,0,4,325000
881,23,242,0,4,7,6,6,61,2,1,0,4,415000
882,23,84,0,7,0,4,21,79,1,1,0,4,600000
883,11,134,0,7,3,3,20,114,2,2,0,4,1525000
884,19,131,0,2,7,3,4,39,1,1,0,4,443000
885,21,66,0,2,0,2,2,44,1,1,0,4,740000
886,8,143,0,4,0,5,4,69,1,2,0,4,425000
887,19,243,0,4,0,11,4,74,1,1,0,4,895000
888,28,65,0,2,7,4,18,44,1,1,0,4,439000
889,13,200,0,1,3,14,12,23,1,1,0,4,279000
890,13,53,0,2,6,5,2,44,1,1,0,4,330000
891,13,120,0,2,3,5,6,67,2,1,0,8,244000
892,33,241,0,4,4,3,18,61,2,0,0,4,520000
893,13,70,0,4,5,14,13,74,1,1,0,4,859000
894,20,174,0,1,2,4,18,10,1,1,0,4,365000
895,13,49,0,2,7,4,6,34,1,1,0,4,300000
896,12,95,0,2,2,3,6,26,1,1,0,4,500000
897,17,115,0,2,0,4,6,39,1,1,0,4,890000
898,20,174,0,2,5,13,4,34,1,1,0,8,860000
899,20,114,0,7,7,5,6,77,2,1,0,4,775000
900,2,24,0,2,4,3,18,74,1,1,0,4,340000
901,28,4,0,2,0,4,0,26,1,1,0,4,585000
902,31,227,0,2,0,7,9,39,1,1,0,4,480000
903,13,120,0,2,7,5,6,61,2,1,0,8,228000
904,13,70,0,2,0,15,13,39,1,0,0,4,640000
905,13,53,0,2,3,5,2,44,1,1,0,4,297500
906,29,179,0,2,6,5,18,39,2,1,0,4,315000
907,28,240,0,2,7,4,2,44,1,2,0,4,645000
908,26,279,0,4,7,1,0,117,2,2,0,8,1100000
909,3,95,0,9,2,5,11,106,2,2,0,8,970000
910,8,245,0,1,7,8,6,44,1,1,0,4,625000
911,7,54,0,4,2,9,18,79,3,1,0,4,1500000
912,8,245,0,4,7,8,6,97,2,2,0,4,985000
913,8,8,0,4,2,14,3,81,2,2,1,4,900000
914,19,83,0,4,6,4,6,119,2,1,0,4,760000
915,8,8,0,2,7,10,10,64,2,2,0,4,760000
916,14,284,0,2,3,7,4,23,1,1,0,4,485000
917,3,267,0,4,4,3,2,64,1,1,0,4,390000
918,15,231,0,4,4,3,4,67,1,1,0,4,820000
919,29,38,0,1,7,17,3,19,1,1,0,7,490000
920,18,155,0,4,4,8,9,67,1,1,0,8,1300000
921,13,70,0,1,3,13,3,20,1,1,0,7,378000
922,13,226,0,2,5,5,16,53,1,1,0,4,210000
923,19,261,0,4,4,7,11,92,1,1,0,4,585000
924,8,8,0,1,7,10,10,30,1,1,0,4,560000
925,3,219,0,2,4,4,16,30,1,1,0,4,285000
926,28,83,0,1,2,4,18,26,1,1,0,4,365000
927,3,41,0,2,4,2,4,34,1,1,0,4,950000
928,12,95,0,4,3,3,18,44,1,1,0,4,560000
929,13,120,0,2,3,5,2,39,1,1,0,3,297500
930,13,267,0,1,5,28,3,23,1,1,0,7,460000
931,3,95,0,2,2,3,4,33,1,1,0,4,425000
932,2,188,0,2,2,3,16,67,1,1,0,4,240000
933,28,4,0,2,0,4,2,26,1,1,0,4,585000
934,22,99,0,7,7,6,11,97,2,1,0,4,655000
935,21,228,0,4,3,9,3,79,2,1,0,4,1350000
936,15,295,0,2,4,4,2,26,1,1,0,4,400000
937,15,183,0,2,4,4,4,26,1,1,0,4,710000
