index,İlan Başlığı,Semt,Mahalle,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
28, İN WEST OF İSTANBUL AMAZİNG PRİCE GOOD LOCATİON İNCREDİBLE PRİCE, Beylikdüzü, Cumhuriyet Mahallesi,3+1,0,15,6. Kat,130,1,0,KombiDoğalgaz,239000
29,BAĞCILAR BARBAROS MAH'DA 2+1 110 M2 SATILIK DAİRE, Bağcılar, Barbaros Mahallesi,2+1,20,7,5. Kat,120,1,0,KombiDoğalgaz,275000
30,MARİN İNSAATTAN CUMHURİYETTE 2+1 METROBÜSE 5 DAİKA MESAFEDE DAİRE, Esenyurt, Cumhuriyet Mahallesi,2+1,2,5,1. Kat,110,1,0,KombiDoğalgaz,180000
31,"Next House'dan Yayla'da 2+1 90M2,Fırsat,Lüx,Daire", Bahçelievler, Soğanlı Mahallesi,2+1,0,5,Giriş,90,1,0,KombiDoğalgaz,589000
32, MODERN 34'den  Cevizli'de  Geniş  İskanlı  Ara  Kat  Satılık 2+1, Maltepe, Cevizli Mahallesi,2+1,3,5,1. Kat,100,2,0,KombiDoğalgaz,775000
33,MARİN İNŞAATTAN GÜZELYURTTA 2+1 TEMİZ GİYİNME ODALI DAİRE FIRSATI, Esenyurt, Güzelyurt Mahallesi,2+1,1,5,1. Kat,110,1,0,KombiDoğalgaz,170000
34,MARİN İNŞAATTAN SAADETDEREDE3+1 GENİŞ GİYİNME ODALI DAİRE FIRSATI, Esenyurt, Saadetdere Mahallesi,3+1,2,5,1. Kat,130,2,0,KombiDoğalgaz,255000
35, İNŞAAT FİRMASINDAN SATILIK MERKEZDE SIFIR ASANSÖRLÜ 2+1 DAİRE, Esenyurt, İncirtepe Mahallesi,2+1,0,4,2. Kat,100,1,0,KombiDoğalgaz,335000
36,NOFT YAPI'DAN SATILIK KOMBİLİ ŞIK TASARIMLI BAHÇE KATI DAİRE, Esenyurt, Güzelyurt Mahallesi,2+1,0,6,Bahçe Katı,95,1,0,KombiDoğalgaz,219000
37, BEYLİKDÜZÜ'NDE FULL DONANIMA SAHİP ŞIK TASARIMLI ULTRA LÜKS 3+1, Esenyurt, Ardıçlı Mahallesi,3+1,0,15,6. Kat,130,1,0,KombiDoğalgaz,240000
38,BAŞKENT YAPI'DAN KREDİ YOK KEFİL YOK ELDEN 60 AY TAKSİT İMKANI, Beylikdüzü, Cumhuriyet Mahallesi,2+1,0,21,9. Kat,115,2,0,KombiDoğalgaz,259000
39, DiLER YAPI GÜVENCESİYLE İSKANLI SATILIK DAİRE 85 M2 METROYA 7 DK, Maltepe, Zümrütevler Mahallesi,2+1,4,4,3. Kat,85,1,0,KombiDoğalgaz,440000
40, EMLAKVAR OSMANGAZİ'DE 4+1 ÇATI DUBLEKSİ KATTA TEK İSKANLI, Sancaktepe, Osmangazi Mahallesi,4+1,5-10,4,Çatı Dubleks,170,2,0,KombiDoğalgaz,500000
41, BEYLİKDÜZÜ KAVAKLI MAHALLESİNDE V.İ.P SATILIK DUBLEKS DAİRE, Beylikdüzü, Kavaklı Mahallesi,5+1,0,5,2. Kat,265,2,0,KombiDoğalgaz,1700000
42, YENİBOSNADA ÇAKMAK DURAĞINDA SATILIK 100 m2 2+1 KREDİLİ DAİRE, Bahçelievler, Zafer Mahallesi,2+1,20,4,4. Kat,100,1,0,KombiDoğalgaz,325000
43,İSTİKLAL MERKEZDE 4+1 KAT DUBLEKSİ, Ümraniye, İstiklal Mahallesi,4+1,5-10,5,Çatı Dubleks,155,2,0,KombiDoğalgaz,830000
