,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
0," Unique Layout, Bright & Stylish Apartment For Sale in Beylikduzu",Beylikdüzü,Cumhuriyet Mahallesi,Konut,2+1,5-10,4,Yüksek Bodrum,90,2,1,0,MerkeziDoğalgaz,195000
1," Yeni Binada Ara Kat, Sıfır, e5 in Yanıbaşında Ön Cephe 3+1",Avcılar, Gümüşpala Mahallesi,Konut,3+1,0,4,3. Kat,140,2,1,0,KombiDoğalgaz,965000
2, KUYUMCUKENT VİZYON PARK BİT PAZARINA YAKIN SATILIK 2+1 DAİRE,Bahçelievler, Çobançeşme Mahallesi,Konut,2+1,11-20,4,3. Kat,95,1,2,0,KombiDoğalgaz,575000
3,Taşdelen Merkezde Muhteşem Manzaralı 4+2 İskanlı Asansörlü Daire ,Çekmeköy, Taşdelen Mahallesi,Konut,4+2,4,7,Çatı Dubleks,180,2,3,0,KombiDoğalgaz,1600000
4, Esenyurt  Regnum  Astrum Towers 'da 1+1 Satılık Daire ,Esenyurt, Akevler Mahallesi,Konut,1+1,5-10,40,30. Kat,90,1,1,1,Merkezi(PayÖlçer),580000
5, FATİH EMLAK TAN 1+1 YUKSEK GİRİŞ KREDİYE UYGUN KULLANIŞLI DAİRE ,Bahçelievler, Zafer Mahallesi,Konut,1+1,5-10,4,Yüksek Giriş,75,1,1,0,KombiDoğalgaz,325000
6, SANCAKTEPE YUNUS EMRE MAHALLESİNDE 2+1 FIRSAT DAİRE ,Sancaktepe, Yunus Emre Mahallesi,Konut,2+1,1,4,2. Kat,100,1,2,0,KombiDoğalgaz,420000
7, METROBÜSE KOMŞU OLMAYA NE DERSİNİZ? HADİ ÖDEME PLANNI KONUŞALM !,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,0,15,7. Kat,130,2,1,0,KombiDoğalgaz,245000
8, ATAKÖY 5. KISIM A TİPİ ARA KAT 3+1 SIFIR TADİLATLI SATILIK DAİRE,Bakırköy, Ataköy 2-5-6. Kısım Mahallesi,Konut,3+1,20,14,4. Kat,125,1,1,1,MerkeziDoğalgaz,1610000
9, KESKİNLER GAYİMENKULDEN 2+1 UYGUN FİYATA DAİRE,Küçükçekmece, İnönü Mahallesi,Konut,2+1,5-10,4,Bahçe Katı,80,1,1,0,KombiDoğalgaz,365000
10," SARIYER’DE, BOĞAZ MANZARALI, HAVUZLU SATILIK MÜSTAKİL VİLLA",Sarıyer, Büyükdere Mahallesi,Konut,7+3,20,5,Müstakil,1200,6,1,0,KombiDoğalgaz,72000000
11, ÖZ AKTAŞ'TAN HAFTANIN KELEPİR UYGUN DUBLEXİ 4+2 435.000₺,Esenyurt, Necip Fazıl Kısakürek Mahallesi,Konut,4+2,4,5,Çatı Dubleks,280,3,3,0,KombiDoğalgaz,435000
12,ÖZ AKTAŞ'TAN ESENYURT MERKEZ'DE 2+1 115M2 KÖŞE DAİRE ,Esenyurt, Bağlarçeşme Mahallesi,Konut,2+1,2,5,4. Kat,120,1,1,0,KombiDoğalgaz,375000
13," Rami Cuma da 4 Yıllık , 110m2 , 2+1 ,Manzaralı , Otoparklı Daire",Eyüpsultan, Rami Cuma Mahallesi,Konut,2+1,4,4,2. Kat,110,1,1,0,KombiDoğalgaz,625000
14, Tual Bahçekent'de 2+1 Satılık Büyük M2 Daire,Başakşehir, Bahçeşehir 2. Kısım Mahallesi,Konut,2+1,1,15,10. Kat,140,1,1,1,Merkezi(PayÖlçer),1600000
15, METROBÜSE 2DK CUMA PAZARINDA KREDİLİ SIFIR BİNA,Bahçelievler, Çobançeşme Mahallesi,Konut,2+1,0,5,3. Kat,95,1,1,0,KombiDoğalgaz,675000
16, SANCAKTEPE MEVLANA MAHALLESİNDE SATILIK 2+1 DAİRE,Sancaktepe, Mevlana Mahallesi,Konut,2+1,5-10,4,2. Kat,90,1,0,0,KombiDoğalgaz,315000
17,BAKIRKOY ZUHURATBABA 'DA 1+1 60 M2 SATILIK BAHCEKATI,Bakırköy, Zuhuratbaba Mahallesi,Konut,1+1,20,5,Bahçe Katı,70,1,1,0,KombiDoğalgaz,650000
18, ÖZ AKTAŞ'TAN PINAR MAH'DE HAFTANIN KELEPİR DAİRESİ 2+1 115M2,Esenyurt, Pınar Mahallesi,Konut,2+1,2,5,2. Kat,125,1,1,0,KombiDoğalgaz,285000
19, BÜYÜKÇEKMECE MİMARSİNAN DOKTORLAR SİTESİNDE 160 M2 2.KAT,Büyükçekmece, Mimar Sinan Merkez Mahallesi,Konut,3+1,20,4,2. Kat,160,1,2,1,KombiDoğalgaz,600000
20,MAYA RESIDENCE SATILIK 6+1 LÜKS 500M2 YÜKSEK TAVANLI PENTHOUSE,Beşiktaş, Etiler Mahallesi,Konut,6+1,11-20,6,5. Kat,500,4,1,1,Merkezi(PayÖlçer),56000000
21, BEYLİKDÜZÜ GEZGEN İNŞ'TAN SİTE İÇERİSİNDE 2+1 120m2 SATILIKDAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,2,7,4. Kat,120,2,3,0,KombiDoğalgaz,365000
22, BEYLİKDÜZÜ METROBUSE 5 DK SİTE İÇİ 72 AY ELDEN SENET HEMEN TAPU,Beylikdüzü, Beylikdüzü OSB Mahallesi,Konut,2+1,0,15,10. Kat,98,2,1,0,Merkezi(PayÖlçer),300000
23,ALBAYRAKTAN METROBÜSE YÜRÜME MESAFELİ 2+1 LÜX DAİRE ,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,0,6,1. Kat,128,1,1,0,KombiDoğalgaz,575000
24,DUDULLU-ÜMRANİYEDE 2+1SATILIK DAİRE KAÇMIYACAK FIRSAT ,Ümraniye, Esenşehir Mahallesi,Konut,2+1,5-10,5,2. Kat,100,1,0,0,KombiDoğalgaz,525000
25," With 20% down payment, you become the owner of a house in Istan",Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,0,15,8. Kat,130,1,1,0,KombiDoğalgaz,259000
26, Tual Bahçekent'de Müstakil Bahçeli 4+1 Daire,Başakşehir, Bahçeşehir 2. Kısım Mahallesi,Konut,4+1,1,4,Bahçe Katı,207,3,1,1,Merkezi(PayÖlçer),2900000
27,NOFT YAPI'DAN SATILIK METROBÜSE CEPHE HAVUZLU SİTE İÇİ LÜKS DAİRE,Esenyurt, Cumhuriyet Mahallesi,Konut,2+1,3,10,7. Kat,95,1,1,0,KombiDoğalgaz,539000
28,ULUS PRESTİJLİ SİTEDE SATILIK BOĞAZ MANZARALI BAHÇE DUBLEKSİ,Beşiktaş, Ulus Mahallesi,Konut,3+1,20,3,Bahçe Katı,260,2,1,0,MerkeziDoğalgaz,27500000
29," ELZEM YAPIDAN FIRSAT! GENİŞ,KULLANIŞLI,BALKONLU 2+1 SON DAİRE",Sancaktepe, Merve Mahallesi,Konut,2+1,0,4,Yüksek Giriş,125,1,1,0,KombiDoğalgaz,258000
30,GöK İNŞAATTAN KELEPİR BAHÇE KATI 2+1 SIFIR DAİRE  ACİLL SATILIK !,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,2,6,Bahçe Katı,105,2,2,0,MerkeziDoğalgaz,119500
31, Mall Of İstanbul da Satılık Vatandaşlığa Uygun Full Eşyalı 2+1,Başakşehir, İkitelli OSB Mahallesi,Konut,2+1,4,30,16. Kat,107,2,1,0,Merkezi(PayÖlçer),2000000
32, 4+2 350M2 TERASLI MIGROS AVM YAKINI SATILIK /APARTMENT FOR SALE,Beylikdüzü, Barış Mahallesi,Konut,4+2,11-20,14,14. Kat,350,3,2,1,KombiDoğalgaz,1350000
33,HORHORDA SATILIK VATANDAŞLIĞA UYGUN YÜKSEK KİRA GETİRİLİ BİNA,Fatih Satılık Bina, İskenderpaşa Mahallesi Satılık Bina,Konut,8+ Oda,4,6,Düz Giriş,271,0,1,0,KombiDoğalgaz,2000000
34,Zeytinburnu satılık daire 58 bulvar üzeri ,Zeytinburnu, Gökalp Mahallesi,Konut,2+1,20,4,3. Kat,85,1,1,0,KombiDoğalgaz,675000
35,Avcılar Gümüşpala ' da Yeni Bina da  Satılık 3+1 Bahçe katı,Avcılar, Gümüşpala Mahallesi,Konut,3+1,5-10,4,Bahçe Katı,130,1,2,0,KombiDoğalgaz,550000
36,HORHOR KEBAPÇILAR SOKAĞINDA SATILIK 3+1,Fatih, İskenderpaşa Mahallesi,Konut,3+1,20,5,2. Kat,135,1,1,0,KombiDoğalgaz,770000
37,"K.OTOPARKLI, JENERATÖRLÜ, YENİ BİNADA, 2+1, 100 M2, FIRSAT DAİRE",Bakırköy, Zuhuratbaba Mahallesi,Konut,2+1,4,5,Düz Giriş,100,1,1,0,KombiDoğalgaz,1125000
38, SEYHAN EMLAK'DAN ÜMRANİYE ÇAKMAKTA 2+1 75 m² DAİRE,Ümraniye, Çakmak Mahallesi,Konut,2+1,5-10,13,4. Kat,100,1,1,0,Merkezi(PayÖlçer),745000
39,FATİH CD. ULTRA LÜX 6+1 OTOPARKLI DUBLEX DAİRE,Küçükçekmece, Yeşilova Mahallesi,Konut,6+1,0,3,3. Kat,260,2,1,0,KombiDoğalgaz,1750000
40, BEYLİKDÜZÜNDE METROBÜSE YAKIN CADDE ÜZERİ LÜX SATILIK DAİRE,Beylikdüzü, Yakuplu Mahallesi,Konut,1+1,0,6,Bahçe Katı,85,1,1,0,KombiDoğalgaz,239500
41, MARİN İNŞAATTAN SAADETDERE DE BU HAFTAYA ÖZEL 2+1 DAİRE FIRSATI!,Esenyurt, Saadetdere Mahallesi,Konut,2+1,2,6,2. Kat,110,1,1,0,KombiDoğalgaz,193000
42, AS EMLAK TAN 2+1 SIFIR BİNADA 2.KAT CADDE ÜZERİ  70M2 DAİRE,Üsküdar, Murat Reis Mahallesi,Konut,2+1,0,4,2. Kat,70,1,1,0,KombiDoğalgaz,750000
43, Küçükçekmece Atakent 3.Etap ta Arakat Temiz Satılık 3+1 110m2 ,Küçükçekmece, Atakent Mahallesi,Konut,3+1,11-20,9,8. Kat,132,1,1,1,Merkezi(PayÖlçer),1040000
44,Beylikdüzü Kavaklıda 5+2 Muhteşem Fırsat Villa,Beylikdüzü, Kavaklı Mahallesi,Konut,5+2,4,4,Müstakil,396,5,5,0,KombiDoğalgaz,4250000
45, Atakent Elite City'de Satılık Peyzaj Cephe 2+1 Ara Kat Daire,Küçükçekmece, Atakent Mahallesi,Konut,2+1,5-10,22,4. Kat,136,2,2,1,Merkezi(PayÖlçer),1420000
46,EYÜPSULTAN İSLAMBEY DE SATILIK 2+1 85 M2 DAİRE ,Eyüpsultan, İslambey Mahallesi,Konut,2+1,20,5,2. Kat,90,1,1,0,KombiDoğalgaz,625000
47,ŞİRİNEVLER MEYDANDA 2+1 SATILIK DAİRE ,Bahçelievler, Şirinevler Mahallesi,Konut,2+1,20,5,2. Kat,85,1,1,0,KombiDoğalgaz,330000
48, TEM AVRASYA KONUTLARI LÜKS 2+1 SATILIK DAİRE,Gaziosmanpaşa, Karayolları Mahallesi,Konut,2+1,0,18,7. Kat,77,1,1,1,Merkezi(PayÖlçer),875000
49, ESENYRUT İNCİRTEPE'DE GENİŞ AİLELER İÇİN 3+1 140M2 LÜX DAİRE,Esenyurt, Yunus Emre Mahallesi,Konut,3+1,1,5,2. Kat,150,1,1,0,KombiDoğalgaz,409000
50, ESENYURT MEYDAN'DA 2+1 115M2 2+1 ÇİFT BALKONLU LÜX DAİRE,Esenyurt, Bağlarçeşme Mahallesi,Konut,3+1,0,9,6. Kat,130,1,1,0,KombiDoğalgaz,399000
51, BAYAR CAD VE METRO İST YAKIN ÖNÜ AÇIK BALKONU KEYFİLİ 3+1 DAİRE,Kadıköy, 19 Mayıs Mahallesi,Konut,3+1,20,12,6. Kat,120,1,1,0,Merkezi(PayÖlçer),890000
52, ESENYURT ATATÜRK MH. ACİLLL SATILIK BAHÇELİ BAHÇE KATI ,Esenyurt, Atatürk Mahallesi,Konut,2+1,4,6,Bahçe Katı,130,1,1,0,KombiDoğalgaz,190000
53, ÖZ AKTAŞ'TAN ESENYURT'TA CADDE'YE KOMSU MÜTHİŞ KONUMDA 2+1 110M2,Esenyurt, Pınar Mahallesi,Konut,2+1,0,5,2. Kat,110,1,1,0,KombiDoğalgaz,315000
54,Satılık daire yeni binada,Sancaktepe, Fatih Mahallesi,Konut,3+1,1,3,1. Kat,120,2,2,0,KombiDoğalgaz,545000
55, BEYLİKDÜZÜ BAŞKENT YAPI'DAN CADDE ÜZERİ SATILIK 3+1 DAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,1,5,3. Kat,165,2,2,0,KombiDoğalgaz,569000
56, BEYLİKDÜZÜ BAŞKENT YAPI'DAN METROBÜSE 6DK SİTE İÇİ 1+1 DAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,1+1,1,13,10. Kat,83,1,1,0,KombiDoğalgaz,399000
57, BEYLİKDÜZÜ BAŞKENT YAPI'DAN METROBÜSE 8DK OTOPARKLI 2+1 DAİRE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,1,5,3. Kat,115,2,2,0,KombiDoğalgaz,459000
58, BAŞKENT YAPI'DAN METROBÜSE 5DK FULL DONANIMLI SİTE İÇİ V.I.P 2+1,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,1,14,4. Kat,150,2,2,0,KombiDoğalgaz,619000
59, MARİN İNŞAAT'TAN METROBÜSE YAKIN YATIRIM İÇİN BİRE BİR DAİRELER!,Esenyurt, Mehterçeşme Mahallesi,Konut,3+1,2,6,3. Kat,130,2,1,0,KombiDoğalgaz,240000
60, TEK YETKİLİ! ÖZEL YAPIM EBEVYN+3 BALKON+Ç.ODASI EMSALSİZ LÜX 3+1,Maltepe, Altıntepe Mahallesi,Konut,3+1,20,4,2. Kat,140,2,2,0,KombiDoğalgaz,829000
61,COŞKUN GAYRİMENKULDEN PENDİK GÖZDAĞINDA SATILIK 2 +1 DAİRELER,Pendik, Velibaba Mahallesi,Konut,2+1,0,8,6. Kat,90,1,1,0,KombiDoğalgaz,523000
62,DEMİR İNŞAAT GAYRİMENKULDEN 50.YILDA 2+1 90M2 YÜKSEK GİRİŞ,Sultangazi, 50. Yıl Mahallesi,Konut,2+1,11-20,5,Yüksek Giriş,95,1,1,0,KombiDoğalgaz,349000
63, DORELİFE SİTESİ SATILIK ARKA CEPHE 6.KAT 3+1 DAİRE HALİL GÜLER,Sancaktepe, Emek Mahallesi,Konut,3+1,4,8,6. Kat,168,2,2,0,Merkezi(PayÖlçer),1025000
64,DEMİR İNŞAATTAN 2+1 LÜX YÜKSEK GİRİŞ SIFIR TAPU MASRAFI YOK!!,Sultangazi, 50. Yıl Mahallesi,Konut,2+1,0,1,Yüksek Giriş,90,1,1,0,KombiDoğalgaz,460000
65,Gaziosmanpaşa Bağlarbaşı Mahallesi'nde Satılık Daire ,Gaziosmanpaşa, Bağlarbaşı Mahallesi,Konut,3+1,11-20,5,Yarı Bodrum,110,1,1,0,KombiDoğalgaz,295000
66, KOZYATAĞI PRESTİJLİ BİNADA 120 M2 NET ÖNÜ AÇIK FERAH 3+1 DAİRE,Kadıköy, 19 Mayıs Mahallesi,Konut,3+1,20,10,8. Kat,140,1,1,0,MerkeziDoğalgaz,1570000
67,SOGANLIDA SATILIK 3+1 DAİRE ,Bahçelievler, Soğanlı Mahallesi,Konut,3+1,20,6,Kot 2 (-2). Kat,130,1,1,0,KombiDoğalgaz,575000
68,ESER YAPIDAN SATILIK3+1 120M2 BALKONLU ARAKAT GİBİ YUKSEK GİRİŞ,Başakşehir, Altınşehir Mahallesi,Konut,3+1,0,3,1. Kat,125,1,1,0,KombiDoğalgaz,520000
69, GAZİOSMANPAŞA MERKEZ MAHALLESİ KAVAKLI SK SATILIK 2+1 DAİRE,Gaziosmanpaşa, Merkez Mahallesi,Konut,2+1,20,5,5. Kat,100,1,1,0,KombiDoğalgaz,370000
70, ÖZ AKTAŞ'TAN MUHTEŞEM KONUMDA 3+1 Y.GİRİŞ LÜX DAİRE,Esenyurt, Battalgazi Mahallesi,Konut,3+1,0,5,Kot 1 (-1). Kat,125,1,1,0,KombiDoğalgaz,299000
71, Home Vizyon Bahçelievler Satılık Butik Sitede Lüx 3+1 Daire. ,Bahçelievler, Çobançeşme Mahallesi,Konut,3+1,5-10,4,3. Kat,130,2,1,0,KombiDoğalgaz,789000
72, ÖZ AKTAŞ'TAN CADDE ÜSTÜ PARK MANZARALI 90M2 2+1 LÜX DAİRE,Esenyurt, Osmangazi Mahallesi,Konut,2+1,0,5,2. Kat,100,1,1,0,KombiDoğalgaz,289000
73, ÖZ AKTAŞ'TAN SIFIR BİNADA 2+1 UYGUN ORTA KAT LÜX DAİRE,Esenyurt, Pınar Mahallesi,Konut,2+1,0,5,2. Kat,100,1,1,0,KombiDoğalgaz,275000
74, İNŞAAT FİRMASINDAN ESENYURT KIRAÇ'TA 3+1 TEK DAİRE ÜZERİ,Esenyurt, Hürriyet Mahallesi,Konut,3+1,4,5,2. Kat,145,1,1,0,MerkeziDoğalgaz,419000
75, ÖZ AKTAŞ'TAN MUHACİR MAHAHLLESİNDE 2+1 110M2 DEKORLU LÜX DAİRE,Esenyurt, Osmangazi Mahallesi,Konut,2+1,0,5,2. Kat,110,1,1,0,KombiDoğalgaz,335000
76, ÖZ AKTAŞ'TAN YENİ BİNADA SIFIR DAİRE 90M2 2+1 KREDİYE UYGUN,Esenyurt, Necip Fazıl Kısakürek Mahallesi,Konut,2+1,0,5,2. Kat,100,1,1,0,KombiDoğalgaz,285000
77, İNŞAAT FİRMASINDAN PARKA KOMSU GENİŞ 3+1 ORTA KAT DAİRE,Esenyurt, Çınar Mahallesi,Konut,3+1,0,5,2. Kat,145,2,1,0,KombiDoğalgaz,399000
78,ÖZ AKTAŞ'TAN SİTE İÇERİSİNDE 100M2 KÖŞE DAİRE 2+1 ,Esenyurt, İstiklal Mahallesi,Konut,2+1,3,20,6. Kat,110,1,1,0,KombiDoğalgaz,359000
79, ÖZ AKTAŞ'TAN KREDİYE UYGUN LÜX DEKORLU 2+1 100M2 ARAKAT DAİRE,Esenyurt, Çınar Mahallesi,Konut,2+1,0,5,2. Kat,110,1,1,0,KombiDoğalgaz,289000
80, BEYLİKDÜZÜ YAKUPLU'DA GENİŞ METROBÜSE YAKIN 2+1 DAİRE ,Beylikdüzü, Yakuplu Mahallesi,Konut,2+1,0,4,2. Kat,105,1,1,0,KombiDoğalgaz,439000
81, Gaziosmanpaşa'da satılık 2+1 daire giriş üstü,Gaziosmanpaşa, Bağlarbaşı Mahallesi,Konut,2+1,0,5,1. Kat,85,1,1,0,KombiDoğalgaz,650000
82,  DOSTHANEEMLAK TAN 50 YIL MH SATILIK KELEPİR TEMİZ 2+1 DAİRE,Sultangazi, 50. Yıl Mahallesi,Konut,2+1,4,5,Bahçe Katı,105,1,1,0,KombiDoğalgaz,275000
83,ESER YAPIDAN ALTINŞEHİR DE SATILIK2+1 3+1 BALKONLU DUZ GİRİŞLER,Başakşehir, Altınşehir Mahallesi,Konut,2+1,0,4,Düz Giriş,90,1,1,0,KombiDoğalgaz,340000
84,AŞKIN EMLAKTAN 2+1 80M² DAİRE,Eyüpsultan, Güzeltepe Mahallesi,Konut,2+1,5-10,5,1. Kat,90,1,1,0,KombiDoğalgaz,490000
85,Nivo Ataköy istanbulun en prestijli projesinde acil satılık.,Bakırköy, Ataköy 7-8-9-10. Kısım Mahallesi,Konut,1+1,0,17,5. Kat,93,1,1,1,Merkezi(PayÖlçer),1450000
86, SELEHADDİN EYYÜBİ MH. BALKONLU KOMBİLİ YÜKSEK GİRİŞ,Esenyurt, Selahaddin Eyyubi Mahallesi,Konut,2+1,2,5,Yüksek Giriş,110,1,1,0,KombiDoğalgaz,275000
87,MARİN İNŞAATTAN  KAVAKLIDA SİTE İÇİ DİP FİYATA 2+1DAİRE FIRSATI! ,Esenyurt, Saadetdere Mahallesi,Konut,2+1,2,8,1. Kat,110,1,1,0,KombiDoğalgaz,225000
88," ELZEM YAPI'DAN MERKEZİ KONUMDA İSKANLI, GENİŞ 3+1 SATILIK ARAKAT",Sancaktepe, Safa Mahallesi,Konut,3+1,3,4,2. Kat,135,1,2,0,KombiDoğalgaz,435000
89,MARİN İNSAATTAN CUMHURİYETTE 2+1 METROBÜSE 5 DAİKA MESAFEDE DAİRE,Esenyurt, Cumhuriyet Mahallesi,Konut,2+1,2,5,1. Kat,110,1,1,0,KombiDoğalgaz,180000
90,ESENYURT MEHMET AKİFERSOY MAH. 1+1 RESİDENCE SATILIK DAİRE ,Esenyurt, Mehmet Akif Ersoy Mahallesi,Konut,1+1,0,11,5. Kat,55,1,1,1,KombiDoğalgaz,265000
91, İN WEST OF İSTANBUL AMAZİNG PRİCE GOOD LOCATİON İNCREDİBLE PRİCE,Beylikdüzü, Cumhuriyet Mahallesi,Konut,3+1,0,15,6. Kat,130,1,2,0,KombiDoğalgaz,239000
92,GÖÇMEN MAHALLESİNDE 250 M² 4+2 BAĞIMSIZ HARİKA DUBLEKS KAÇMAZ!!!,Esenyurt, Çınar Mahallesi,Konut,4+2,5-10,4,3. Kat,270,2,1,0,KombiDoğalgaz,569000
93,ASANSÖRLÜ 4+2 BAKIMLI İSKANLI KELEPİR DUBLEKS BAĞIMSIZ GİRİŞLİ!!,Esenyurt, Selahaddin Eyyubi Mahallesi,Konut,4+2,5-10,4,3. Kat,225,2,1,0,KombiDoğalgaz,430000
94,ÇEKMEKÖY MİMAR SİNAN'DA SATILIK 3+1 ARA KAT DAİRE,Çekmeköy, Mimar Sinan Mahallesi,Konut,3+1,5-10,4,2. Kat,130,2,1,0,KombiDoğalgaz,647500
95, ELZEM YAPIDAN 2+1 ASANSÖRLÜ İSKANLI KAÇIRILMAYACAK DAİRE,Sancaktepe, Yunus Emre Mahallesi,Konut,2+1,4,4,2. Kat,90,1,1,0,KombiDoğalgaz,360000
96,şirinevler mah de satılık 174 m² -3+1- 3. kat daire  ,Bahçelievler, Şirinevler Mahallesi,Konut,3+1,11-20,5,Çatı Dubleks,174,2,2,0,KombiDoğalgaz,995000
97,KİRA ÖDER GİBİ EV SAHİBİ OLUN %50 PEŞİNAT %50 Sİ 60 AY 0 FAİZ,Esenyurt, Zafer Mahallesi,Konut,3+1,0,17,14. Kat,160,1,0,1,Merkezi(PayÖlçer),350000
98,"Next House'dan Yayla'da 2+1 90M2,Fırsat,Lüx,Daire",Bahçelievler, Soğanlı Mahallesi,Konut,2+1,0,5,Yüksek Giriş,90,1,1,0,KombiDoğalgaz,589000
99, AVCILAR AMBARLI MAH'DA 5+1 DUBLEKS DAİRE,Avcılar, Ambarlı Mahallesi,Konut,5+1,5-10,3,Çatı Dubleks,235,2,1,0,KombiDoğalgaz,850000
100, Beylikdüzü Deniz İstanbul Mercan Konakları 2+1 Daire,Beylikdüzü, Marmara Mahallesi,Konut,2+1,0,6,Yüksek Giriş,106,2,2,1,KombiDoğalgaz,1700000
101,BAĞCILAR BARBAROS MAH'DA 2+1 110 M2 SATILIK DAİRE,Bağcılar, Barbaros Mahallesi,Konut,2+1,20,7,5. Kat,120,1,1,0,KombiDoğalgaz,275000
102,MARİN İNŞAATTAN GÜZELYURTTA 2+1 TEMİZ GİYİNME ODALI DAİRE FIRSATI,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,1,5,1. Kat,110,1,1,0,KombiDoğalgaz,170000
103, BEYLİKDÜZÜ'NDE FULL DONANIMA SAHİP ŞIK TASARIMLI ULTRA LÜKS 3+1,Beylikdüzü, Beylikdüzü OSB Mahallesi,Konut,3+1,0,15,6. Kat,130,1,2,0,KombiDoğalgaz,240000
104,MARİN İNŞAATTAN SAADETDEREDE3+1 GENİŞ GİYİNME ODALI DAİRE FIRSATI,Esenyurt, Saadetdere Mahallesi,Konut,3+1,2,5,1. Kat,130,2,1,0,KombiDoğalgaz,255000
105,BAŞKENT YAPI'DAN KREDİ YOK KEFİL YOK ELDEN 60 AY TAKSİT İMKANI,Beylikdüzü, Cumhuriyet Mahallesi,Konut,2+1,0,21,9. Kat,115,2,1,0,KombiDoğalgaz,259000
106, İNŞAAT FİRMASINDAN SATILIK MERKEZDE SIFIR ASANSÖRLÜ 2+1 DAİRE,Esenyurt, İncirtepe Mahallesi,Konut,2+1,0,4,2. Kat,100,1,2,0,KombiDoğalgaz,335000
107,NOFT YAPI'DAN SATILIK KOMBİLİ ŞIK TASARIMLI BAHÇE KATI DAİRE,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,0,6,Bahçe Katı,95,1,1,0,KombiDoğalgaz,219000
108, İSTANBUL FATİH EMİNÖNÜ HOBYAR MH. BANKALAR CAD. BİNA KAPALIÇARŞI,Fatih Satılık Bina, Hobyar Mahallesi Satılık Bina,Konut,8+ Oda,20,3,Müstakil,2400,6,1,0,KatKaloriferi,101003600
109, AVCILAR MUSTAFA KEMAL PAŞA MAH 3+1 KULLANIŞLI YÜKSEK GİRİŞ DAİRE,Avcılar, Mustafa Kemal Paşa Mahallesi,Konut,3+1,11-20,4,Yüksek Giriş,130,1,1,0,KombiDoğalgaz,430000
110, EMLAKVAR OSMANGAZİ'DE 4+1 ÇATI DUBLEKSİ KATTA TEK İSKANLI,Sancaktepe, Osmangazi Mahallesi,Konut,4+1,5-10,4,Çatı Dubleks,170,2,1,0,KombiDoğalgaz,500000
111, BEYLİKDÜZÜ KAVAKLI MAHALLESİNDE V.İ.P SATILIK DUBLEKS DAİRE,Beylikdüzü, Kavaklı Mahallesi,Konut,5+1,0,5,2. Kat,265,2,2,0,KombiDoğalgaz,1700000
112, YENİBOSNADA ÇAKMAK DURAĞINDA SATILIK 100 m2 2+1 KREDİLİ DAİRE,Bahçelievler, Zafer Mahallesi,Konut,2+1,20,4,4. Kat,100,1,1,0,KombiDoğalgaz,325000
113,Eser Yapıdan Satılık2+1 80m2 Merkezi Konumda Yüksek Camlı B Katı,Başakşehir, Güvercintepe Mahallesi,Konut,2+1,2,4,Bahçe Katı,85,1,1,0,KombiDoğalgaz,280000
114,İSTİKLAL MERKEZDE 4+1 KAT DUBLEKSİ,Ümraniye, İstiklal Mahallesi,Konut,4+1,5-10,5,Çatı Dubleks,155,2,3,0,KombiDoğalgaz,830000
115,GÜZELYALIDA YÜKSEK GİRİŞ SATILIK DAİRE,Pendik, Güzelyalı Mahallesi,Konut,2+1,11-20,5,Yüksek Giriş,90,1,1,0,KombiDoğalgaz,280000
116, GÖZTEPE MİNİBÜS CADDEDİNE PARALEL CADDE ÜZERİNDE O  DAİRE,Kadıköy, Merdivenköy Mahallesi,Konut,2+1,0,9,7. Kat,95,2,1,0,MerkeziDoğalgaz,1075000
117, CAN İNŞAAT'TAN ESENYURT İSTİKLAL MAH 3+1 DAİRELER ,Esenyurt, İstiklal Mahallesi,Konut,3+1,5-10,5,Kot 2 (-2). Kat,135,1,1,0,KombiDoğalgaz,385000
118,BEYLİKDÜZÜ YAŞAM VADİSİNE YAKIN ÇİFT BALKONLU AÇIK CEPHELİ 3+1,Beylikdüzü, Adnan Kahveci Mahallesi,Konut,3+1,4,4,2. Kat,150,2,1,0,KombiDoğalgaz,797500
119,BEYLİKDÜZÜ MİGROS DURAĞINA 5DK YÜRÜME İSKANLI LÜKS DİZAYNLI 3+1,Beylikdüzü, Barış Mahallesi,Konut,3+1,11-20,14,7. Kat,170,2,1,0,KombiDoğalgaz,970000
120,Ağaoğlu Eltes Gold Residence 20.kat Bahçesi Yanı 164m2,Ümraniye, Madenler Mahallesi,Konut,3+1,11-20,27,20. Kat,164,2,2,0,KombiDoğalgaz,1450000
