,İlan Başlığı,Semt,Mahalle,Tür,Oda Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Bulunduğu Kat,Brüt Metrekare,Banyo Sayısı,Wc Sayısı,Site İçerisinde,Isıtma Tipi,Fiyat
1057,Bahçelievler  Öğretmen Evi Arkası 2+1 90m2 Masrafsız Daire ,Bahçelievler, Bahçelievler Mahallesi,Konut,2+1,20,3,2. Kat,90,1,1,0,KombiDoğalgaz,950000
1058,"AVRUPA EMLAKTAN FEVZİ ÇAKMAK MH 3+1 YÜKSEK GİRİŞ,2 YILLIK,İSKANLI",Esenler, Fevzi Çakmak Mahallesi,Konut,3+1,2,4,Yüksek Giriş,100,1,1,0,KombiDoğalgaz,560000
1059,NOFT YAPI'DAN SATILIK 2+1 ARA KAT DAİRE ŞOK FİYAT !!!!,Esenyurt, Güzelyurt Mahallesi,Konut,2+1,2,6,1. Kat,95,1,1,0,Klimalı,297500
1060,SEMBOL İSTANBULDA 75M2 YATIRIMLIK 1+1 SATILIK DAİRE,Esenyurt, Zafer Mahallesi,Konut,1+1,3,30,11. Kat,75,1,1,0,Merkezi(PayÖlçer),460000
1061, ACİL KÖŞEBAŞI SAFA HASTAHANESİ YAKINI 2+1 (2KAT),Bahçelievler, Fevzi Çakmak Mahallesi,Konut,2+1,11-20,4,2. Kat,88,1,1,0,KombiDoğalgaz,425000
1062,"Sahibinden 2+1 Bahçe katı 115 mt² E5 e metrobüse yakın ,araç takasına uygun",Avcılar, Mustafa Kemal Paşa Mahallesi,Konut,2+1,11-20,4,Bahçe Katı,130,1,1,0,KombiDoğalgaz,240000
1063, 75.Yıl'Da HAKANLAR İNŞAATTAN Satılık 80m2 2+1 1.Kat Daire ,Sultangazi, 75. Yıl Mahallesi,Konut,2+1,0,5,1. Kat,80,1,1,0,KombiDoğalgaz,585000
1064,Sahibinden fındıklı hancıoğlunda 4+2 dublex ,Maltepe, Fındıklı Mahallesi,Konut,4+2,5-10,7,6. Kat,200,2,1,0,KombiDoğalgaz,655000
1065,~KUCUKCEKMECEDE SUPER LUX 3+1 DAIRE~,Küçükçekmece, Söğütlü Çeşme Mahallesi,Konut,3+1,2,10,10. Kat,150,2,1,0,KombiDoğalgaz,1350000
1066,HORHOR TOPRAK SOKAKTA SATILIK 2+1,Fatih, İskenderpaşa Mahallesi,Konut,2+1,20,5,1. Kat,80,1,1,0,KombiDoğalgaz,400000
