,titles,location,number of rooms,floor,house size,prices
42,FATİH EMLAK TAN KREDİYE UYGUN 2+1 ASANS...,Bahçelievler - Yenibosna Merkez Mahallesi,2+1,3. Kat,95,495.000 TLarrow_downwardESKİ FİYATI520.000 TL
43,MASLAK MASHATTAN SON FİYAT FIRSAT SATILI...,Residence / Sarıyer - Maslak Mahallesi,4+1,5. Kat,255,4.800.000 TL
44,MASLAK ECLİPSE SATILIK 2+1 KELEPİR DAİRE,Residence / Sarıyer - Maslak Mahallesi,2+1,2. Kat,115,2.000.000 TL
45,TURYAP ALİBEYKÖY'DEN EYÜP PARK SİTESİ 2+...,Eyüpsultan - Akşemsettin Mahallesi,2+1,2. Kat,138,1.375.000 TL
46,Bağcılarda satılık Dubleks daire,Bağcılar - Fatih Mahallesi,5+1,5. Kat,210,520.000 TL
47,PENDİK DUMLUPINAR`DA(GÖZDAĞI)KAPANMAZ DE...,Pendik - Dumlupınar Mahallesi,4+1,9. Kat,160,750.000 TL
48,ETİLER CENGİZ TOPEL DE KORU MANZARALI B...,Beşiktaş - Etiler Mahallesi,3+1,Bahçe Katı,130,2.600.000 TL
49,TURYAP ALİBEYKÖY'DEN EYÜP PARK SİTESİ 2+...,Eyüpsultan - Akşemsettin Mahallesi,2+1,2. Kat,75,900.000 TL
50,GALATAPORT PROJESİNE YÜRÜME MESAFESİNDE...,Beyoğlu - Hacımimi Mahallesi,2+1,Kot 3,(-3).,2.300.000 TL
51,ÜÇEVLER MAHALLESİNDE SATILIK 2+1 شقه للب...,Esenyurt - Üçevler Mahallesi,2+1,Bahçe Katı,90,175.000 TL
52,MAY EMLAK'TAN  *** ACİL ***  HÜRRİYET MA...,Kağıthane - Hürriyet Mahallesi,3+2,6. Kat,140,538.000 TL
53,ŞİŞLİ MECİDİYEKÖYDE 160m2 3+1 TERASLI KO...,Şişli - Mecidiyeköy Mahallesi,3+1,7. Kat,170,875.000 TL
54,Anadolu Mah.Satılık 2+1 Manzaralı 90 m2 ...,Arnavutköy - Anadolu Mahallesi,2+1,Çatı Katı,90,240.000 TL
55,Bahçelievler Onur Sitesi Bakımlı 2+1 Sa...,Bahçelievler - Bahçelievler Mahallesi,2+1,3. Kat,80,485.000 TL
56,TURYAPTAN EYÜPPARK SİTESİNDE SATILIK 2+1...,Eyüpsultan - Akşemsettin Mahallesi,2+1,Bahçe Katı,138,1.125.000 TL
57,BEYLİKDÜZÜ TÜYAP YAKINI DENİZ MANZARALI ...,Esenyurt - Gökevler Mahallesi,3+1,9. Kat,145,625.000 TL
58,ACIBADEM SAKİNLERDE 2+1 BAHÇE KAT SATIL...,Kadıköy - Acıbadem Mahallesi,2+1,Bahçe Katı,80,600.000 TL
59,ACIBADEM DOĞUŞ ÜNİVERSİTESİNE YAKIN 3+1...,Kadıköy - Hasanpaşa Mahallesi,3+1,1. Kat,120,790.000 TL
